,epoch,x,y
0,0,0,6
1,0,1,7
2,0,2,8
3,0,3,8
4,0,4,10
5,0,5,8
6,0,6,10
7,0,7,12
8,0,8,6
9,0,9,14
10,0,10,10
11,0,11,9
12,0,12,12
13,0,13,11
14,0,14,19
15,0,15,16
16,0,16,21
17,0,17,15
18,0,18,14
19,0,19,21
20,0,20,21
21,0,21,18
22,0,22,11
23,0,23,19
24,0,24,20
25,0,25,22
26,0,26,19
27,0,27,26
28,0,28,24
29,0,29,30
30,0,30,30
31,0,31,30
32,0,32,27
33,0,33,26
34,0,34,22
35,0,35,21
36,0,36,23
37,0,37,28
38,0,38,25
39,0,39,31
40,0,40,25
41,0,41,24
42,0,42,33
43,0,43,28
44,0,44,22
45,0,45,36
46,0,46,31
47,0,47,36
48,0,48,28
49,0,49,38
50,0,50,47
51,0,51,36
52,0,52,37
53,0,53,36
54,0,54,34
55,0,55,50
56,0,56,35
57,0,57,40
58,0,58,39
59,0,59,41
60,0,60,41
61,0,61,61
62,0,62,42
63,0,63,32
64,0,64,44
65,0,65,38
66,0,66,38
67,0,67,47
68,0,68,45
69,0,69,39
70,0,70,55
71,0,71,43
72,0,72,43
73,0,73,60
74,0,74,49
75,0,75,49
76,0,76,47
77,0,77,47
78,0,78,53
79,0,79,48
80,0,80,55
81,0,81,59
82,0,82,53
83,0,83,53
84,0,84,55
85,0,85,52
86,0,86,65
87,0,87,50
88,0,88,49
89,0,89,55
90,0,90,51
91,0,91,51
92,0,92,58
93,0,93,54
94,0,94,73
95,0,95,69
96,0,96,53
97,0,97,56
98,0,98,34
99,0,99,56
100,0,100,55
101,0,101,68
102,0,102,73
103,0,103,61
104,0,104,53
105,0,105,69
106,0,106,58
107,0,107,68
108,0,108,73
109,0,109,69
110,0,110,62
111,0,111,81
112,0,112,69
113,0,113,76
114,0,114,57
115,0,115,60
116,0,116,75
117,0,117,84
118,0,118,66
119,0,119,72
120,0,120,71
121,0,121,70
122,0,122,68
123,0,123,62
124,0,124,77
125,0,125,65
126,0,126,66
127,0,127,88
128,0,128,71
129,0,129,81
130,0,130,72
131,0,131,69
132,0,132,77
133,0,133,81
134,0,134,78
135,0,135,89
136,0,136,79
137,0,137,79
138,0,138,82
139,0,139,91
140,0,140,80
141,0,141,91
142,0,142,86
143,0,143,100
144,0,144,87
145,0,145,78
146,0,146,89
147,0,147,84
148,0,148,93
149,0,149,80
150,0,150,98
151,0,151,88
152,0,152,80
153,0,153,86
154,0,154,97
155,0,155,101
156,0,156,97
157,0,157,102
158,0,158,96
159,0,159,113
160,0,160,102
161,0,161,88
162,0,162,91
163,0,163,87
164,0,164,93
165,0,165,92
166,0,166,100
167,0,167,97
168,0,168,96
169,0,169,88
170,0,170,84
171,0,171,90
172,0,172,110
173,0,173,105
174,0,174,108
175,0,175,103
176,0,176,90
177,0,177,102
178,0,178,103
179,0,179,101
180,0,180,106
181,0,181,102
182,0,182,112
183,0,183,132
184,0,184,91
185,0,185,101
186,0,186,99
187,0,187,112
188,0,188,121
189,0,189,112
190,0,190,107
191,0,191,100
192,0,192,91
193,0,193,111
194,0,194,112
195,0,195,120
196,0,196,115
197,0,197,106
198,0,198,115
199,0,199,107
200,1,0,6
201,1,1,5
202,1,2,8
203,1,3,6
204,1,4,11
205,1,5,11
206,1,6,9
207,1,7,11
208,1,8,11
209,1,9,17
210,1,10,14
211,1,11,18
212,1,12,14
213,1,13,10
214,1,14,10
215,1,15,17
216,1,16,16
217,1,17,16
218,1,18,16
219,1,19,13
220,1,20,15
221,1,21,16
222,1,22,27
223,1,23,15
224,1,24,20
225,1,25,15
226,1,26,16
227,1,27,27
228,1,28,24
229,1,29,26
230,1,30,26
231,1,31,25
232,1,32,26
233,1,33,27
234,1,34,31
