,epoch,time until adapted,expectations
0,0,37,[0.38709677 0.1827957  0.43010753]
1,1,34,[0.34444444 0.21111111 0.44444444]
2,2,31,[0.3908046  0.14942529 0.45977011]
3,3,39,[0.41052632 0.16842105 0.42105263]
4,4,40,[0.34375    0.23958333 0.41666667]
5,5,29,[0.36470588 0.16470588 0.47058824]
6,6,40,[0.39583333 0.1875     0.41666667]
7,7,48,[0.375      0.24038462 0.38461538]
8,8,45,[0.35643564 0.24752475 0.3960396 ]
9,9,38,[0.37234043 0.20212766 0.42553191]
10,10,33,[0.37078652 0.17977528 0.4494382 ]
11,11,49,[0.37142857 0.24761905 0.38095238]
12,12,43,[0.37373737 0.22222222 0.4040404 ]
13,13,35,[0.36263736 0.1978022  0.43956044]
14,14,34,[0.36666667 0.18888889 0.44444444]
15,15,34,[0.36666667 0.18888889 0.44444444]
16,16,38,[0.40425532 0.17021277 0.42553191]
17,17,43,[0.36363636 0.23232323 0.4040404 ]
18,18,61,[0.41880342 0.23931624 0.34188034]
19,19,31,[0.37931034 0.16091954 0.45977011]
20,20,33,[0.37078652 0.17977528 0.4494382 ]
21,21,37,[0.38709677 0.1827957  0.43010753]
22,22,44,[0.38 0.22 0.4 ]
23,23,29,[0.37647059 0.15294118 0.47058824]
24,24,43,[0.4040404  0.19191919 0.4040404 ]
25,25,34,[0.36666667 0.18888889 0.44444444]
26,26,45,[0.40594059 0.1980198  0.3960396 ]
27,27,47,[0.36893204 0.24271845 0.38834951]
28,28,35,[0.3956044  0.16483516 0.43956044]
29,29,32,[0.36363636 0.18181818 0.45454545]
30,30,35,[0.36263736 0.1978022  0.43956044]
31,31,43,[0.36363636 0.23232323 0.4040404 ]
32,32,37,[0.3655914  0.20430108 0.43010753]
33,33,39,[0.38947368 0.18947368 0.42105263]
34,34,33,[0.37078652 0.17977528 0.4494382 ]
35,35,41,[0.36082474 0.22680412 0.41237113]
36,36,34,[0.41111111 0.14444444 0.44444444]
37,37,37,[0.38709677 0.1827957  0.43010753]
38,38,47,[0.36893204 0.24271845 0.38834951]
39,39,29,[0.38823529 0.14117647 0.47058824]
40,40,40,[0.41666667 0.16666667 0.41666667]
41,41,30,[0.36046512 0.1744186  0.46511628]
42,42,46,[0.3627451  0.24509804 0.39215686]
43,43,38,[0.41489362 0.15957447 0.42553191]
44,44,45,[0.38613861 0.21782178 0.3960396 ]
45,45,35,[0.36263736 0.1978022  0.43956044]
46,46,39,[0.36842105 0.21052632 0.42105263]
47,47,33,[0.37078652 0.17977528 0.4494382 ]
48,48,37,[0.41935484 0.15053763 0.43010753]
49,49,36,[0.36956522 0.19565217 0.43478261]
50,50,35,[0.37362637 0.18681319 0.43956044]
51,51,36,[0.39130435 0.17391304 0.43478261]
52,52,33,[0.37078652 0.17977528 0.4494382 ]
53,53,37,[0.38709677 0.1827957  0.43010753]
54,54,42,[0.39795918 0.19387755 0.40816327]
55,55,31,[0.37931034 0.16091954 0.45977011]
56,56,38,[0.37234043 0.20212766 0.42553191]
57,57,42,[0.37755102 0.21428571 0.40816327]
58,58,35,[0.38461538 0.17582418 0.43956044]
59,59,33,[0.34831461 0.20224719 0.4494382 ]
60,60,37,[0.3655914  0.20430108 0.43010753]
61,61,37,[0.37634409 0.19354839 0.43010753]
62,62,31,[0.37931034 0.16091954 0.45977011]
63,63,44,[0.38 0.22 0.4 ]
64,64,31,[0.36781609 0.17241379 0.45977011]
65,65,37,[0.34408602 0.22580645 0.43010753]
66,66,39,[0.35789474 0.22105263 0.42105263]
67,67,32,[0.38636364 0.15909091 0.45454545]
68,68,36,[0.35869565 0.20652174 0.43478261]
69,69,38,[0.36170213 0.21276596 0.42553191]
70,70,32,[0.35227273 0.19318182 0.45454545]
71,71,36,[0.35869565 0.20652174 0.43478261]
72,72,39,[0.36842105 0.21052632 0.42105263]
73,73,34,[0.38888889 0.16666667 0.44444444]
74,74,33,[0.35955056 0.19101124 0.4494382 ]
75,75,31,[0.35632184 0.18390805 0.45977011]
76,76,36,[0.36956522 0.19565217 0.43478261]
77,77,40,[0.375      0.20833333 0.41666667]
78,78,39,[0.36842105 0.21052632 0.42105263]
79,79,41,[0.3814433  0.20618557 0.41237113]
80,80,41,[0.36082474 0.22680412 0.41237113]
81,81,46,[0.38235294 0.2254902  0.39215686]
82,82,33,[0.33707865 0.21348315 0.4494382 ]
83,83,47,[0.36893204 0.24271845 0.38834951]
84,84,40,[0.40625    0.17708333 0.41666667]
85,85,36,[0.42391304 0.14130435 0.43478261]
86,86,38,[0.37234043 0.20212766 0.42553191]
87,87,33,[0.33707865 0.21348315 0.4494382 ]
88,88,37,[0.35483871 0.21505376 0.43010753]
89,89,35,[0.3956044  0.16483516 0.43956044]
90,90,29,[0.37647059 0.15294118 0.47058824]
91,91,34,[0.36666667 0.18888889 0.44444444]
92,92,32,[0.38636364 0.15909091 0.45454545]
93,93,31,[0.3908046  0.14942529 0.45977011]
94,94,35,[0.3956044  0.16483516 0.43956044]
95,95,40,[0.375      0.20833333 0.41666667]
96,96,32,[0.40909091 0.13636364 0.45454545]
97,97,37,[0.38709677 0.1827957  0.43010753]
98,98,35,[0.37362637 0.18681319 0.43956044]
99,99,31,[0.35632184 0.18390805 0.45977011]
