,epoch,time spent in light,amount of times swapped
0,0,100,22
1,1,100,19
2,2,100,27
3,3,100,36
4,4,100,20
5,5,100,27
6,6,100,16
7,7,100,31
8,8,100,18
9,9,100,23
10,10,100,29
11,11,100,17
12,12,100,22
13,13,100,20
14,14,100,27
15,15,100,19
16,16,100,15
17,17,100,24
18,18,100,17
19,19,100,23
20,20,100,15
21,21,100,21
22,22,100,25
23,23,100,15
24,24,100,19
25,25,100,22
26,26,100,28
27,27,100,16
28,28,100,21
29,29,100,21
30,30,100,16
31,31,100,20
32,32,100,24
33,33,100,16
34,34,100,26
35,35,100,10
36,36,100,20
37,37,100,27
38,38,100,24
39,39,100,27
40,40,100,29
41,41,100,13
42,42,100,17
43,43,100,17
44,44,100,16
45,45,100,22
46,46,100,5
47,47,100,20
48,48,100,23
49,49,100,29
50,50,100,23
51,51,100,14
52,52,100,24
53,53,100,16
54,54,100,13
55,55,100,16
56,56,100,20
57,57,100,28
58,58,100,23
59,59,100,22
60,60,100,28
61,61,100,17
62,62,100,23
63,63,100,11
64,64,100,21
65,65,100,25
66,66,100,31
67,67,100,13
68,68,100,17
69,69,100,23
70,70,100,19
71,71,100,28
72,72,100,25
73,73,100,23
74,74,100,19
75,75,100,27
76,76,100,26
77,77,100,29
78,78,100,19
79,79,100,18
80,80,100,15
81,81,100,19
82,82,100,32
83,83,100,28
84,84,100,34
85,85,100,28
86,86,100,13
87,87,100,24
88,88,100,16
89,89,100,12
90,90,100,21
91,91,100,16
92,92,100,18
93,93,100,16
94,94,100,15
95,95,100,13
96,96,100,16
97,97,100,32
98,98,100,23
99,99,100,23
