,epoch,time spent in light,amount of times swapped
0,0,100,24
1,1,100,19
2,2,100,17
3,3,100,21
4,4,100,20
5,5,100,17
6,6,100,10
7,7,100,23
8,8,100,22
9,9,100,28
10,10,100,21
11,11,100,26
12,12,100,19
13,13,100,26
14,14,100,13
15,15,100,28
16,16,100,15
17,17,100,27
18,18,100,34
19,19,100,32
20,20,100,17
21,21,100,32
22,22,100,20
23,23,100,24
24,24,100,21
25,25,100,23
26,26,100,21
27,27,100,10
28,28,100,27
29,29,100,23
30,30,100,25
31,31,100,17
32,32,100,24
33,33,100,19
34,34,100,27
35,35,100,17
36,36,100,25
37,37,100,31
38,38,100,34
39,39,100,22
40,40,100,21
41,41,100,19
42,42,100,34
43,43,100,35
44,44,100,27
45,45,100,24
46,46,100,12
47,47,100,21
48,48,100,22
49,49,100,25
50,50,100,22
51,51,100,17
52,52,100,28
53,53,100,30
54,54,100,22
55,55,100,12
56,56,100,23
57,57,100,24
58,58,100,19
59,59,100,22
60,60,100,27
61,61,100,33
62,62,100,24
63,63,100,26
64,64,100,15
65,65,100,27
66,66,100,29
67,67,100,13
68,68,100,22
69,69,100,32
70,70,100,26
71,71,100,22
72,72,100,12
73,73,100,23
74,74,100,16
75,75,100,22
76,76,100,22
77,77,100,21
78,78,100,19
79,79,100,26
80,80,100,26
81,81,100,36
82,82,100,18
83,83,100,38
84,84,100,28
85,85,100,25
86,86,100,24
87,87,100,27
88,88,100,21
89,89,100,23
90,90,100,22
91,91,100,18
92,92,100,28
93,93,100,45
94,94,100,18
95,95,100,26
96,96,100,19
97,97,100,25
98,98,100,24
99,99,100,29
