,epoch,time until adapted,expectations
0,0,760,[0.2263196  0.19522777 0.57845264]
1,1,767,[0.22466643 0.19834115 0.57699243]
2,2,778,[0.22593391 0.19935345 0.57471264]
3,3,796,[0.22733762 0.20164168 0.5710207 ]
4,4,760,[0.22270427 0.19884309 0.57845264]
5,5,841,[0.23076923 0.20723569 0.56199508]
6,6,801,[0.22728892 0.20270752 0.57000356]
7,7,728,[0.21982443 0.19495245 0.58522312]
8,8,774,[0.22589928 0.19856115 0.57553957]
9,9,825,[0.22960085 0.20522783 0.56517132]
10,10,790,[0.22639485 0.20135908 0.57224607]
11,11,834,[0.2306338  0.20598592 0.56338028]
12,12,748,[0.22258533 0.19644154 0.58097313]
13,13,760,[0.22342733 0.19812003 0.57845264]
14,14,819,[0.2279646  0.20566372 0.56637168]
15,15,774,[0.22589928 0.19856115 0.57553957]
16,16,829,[0.22962963 0.20599647 0.5643739 ]
17,17,720,[0.22157007 0.19148936 0.58694057]
18,18,812,[0.22782115 0.20440028 0.56777857]
19,19,808,[0.22778962 0.20362473 0.56858564]
20,20,815,[0.22828784 0.2045374  0.56717476]
21,21,763,[0.22354641 0.19862766 0.57782593]
22,22,412,[0.13771712 0.20057899 0.66170389]
23,23,755,[0.22419413 0.19630569 0.57950018]
24,24,767,[0.22466643 0.19834115 0.57699243]
25,25,767,[0.22791201 0.19509556 0.57699243]
26,26,107,[0.04259347 0.2001893  0.75721723]
27,27,758,[0.22322721 0.19790159 0.5788712 ]
28,28,85,[0.0310856  0.20373027 0.76518412]
29,29,760,[0.225235   0.19631236 0.57845264]
30,30,781,[0.22676713 0.19913886 0.57409401]
31,31,782,[0.2266858  0.19942611 0.57388809]
32,32,821,[0.22992572 0.20410329 0.56597099]
33,33,774,[0.22410072 0.20035971 0.57553957]
34,34,780,[0.22541278 0.20028715 0.57430007]
35,35,788,[0.22763064 0.19971367 0.57265569]
36,36,802,[0.22720798 0.20299145 0.56980057]
37,37,766,[0.22366522 0.1991342  0.57720058]
38,38,822,[0.23019802 0.20403112 0.56577086]
39,39,795,[0.22491967 0.20385577 0.57122456]
40,40,804,[0.22740214 0.20320285 0.56939502]
41,41,785,[0.22572555 0.20100322 0.57327123]
42,42,784,[0.22544803 0.20107527 0.5734767 ]
43,43,804,[0.22811388 0.2024911  0.56939502]
44,44,752,[0.22335025 0.19651922 0.58013053]
45,45,757,[0.22511763 0.19580166 0.57908071]
46,46,784,[0.22616487 0.20035842 0.5734767 ]
47,47,812,[0.22995032 0.20227111 0.56777857]
48,48,816,[0.22927002 0.2037562  0.56697378]
49,49,803,[0.22712709 0.20327519 0.56959772]
50,50,720,[0.21936904 0.19369039 0.58694057]
51,51,786,[0.22528653 0.20164756 0.5730659 ]
52,52,788,[0.22798855 0.19935576 0.57265569]
53,53,792,[0.22694782 0.20121515 0.57183703]
54,54,796,[0.22626695 0.20271235 0.5710207 ]
55,55,732,[0.2220599  0.19357195 0.58436815]
56,56,778,[0.22557471 0.19971264 0.57471264]
57,57,804,[0.22740214 0.20320285 0.56939502]
58,58,714,[0.22132353 0.19044118 0.58823529]
59,59,802,[0.22720798 0.20299145 0.56980057]
60,60,728,[0.21982443 0.19495245 0.58522312]
61,61,785,[0.22644214 0.20028664 0.57327123]
62,62,817,[0.22918881 0.20403826 0.56677294]
63,63,746,[0.22311047 0.19549419 0.58139535]
64,64,778,[0.22557471 0.19971264 0.57471264]
65,65,750,[0.22351234 0.19593614 0.58055152]
66,66,785,[0.22680043 0.19992834 0.57327123]
67,67,836,[0.23011963 0.20689655 0.56298381]
68,68,786,[0.22636103 0.20057307 0.5730659 ]
69,69,749,[0.22286751 0.19637024 0.58076225]
70,70,770,[0.22442363 0.19920749 0.57636888]
71,71,802,[0.22720798 0.20299145 0.56980057]
72,72,779,[0.22764811 0.1978456  0.57450628]
73,73,779,[0.22585278 0.19964093 0.57450628]
74,74,774,[0.22482014 0.19964029 0.57553957]
75,75,721,[0.22222222 0.19105244 0.58672534]
76,76,783,[0.22588741 0.20043026 0.57368232]
77,77,729,[0.22193784 0.19305302 0.58500914]
78,78,759,[0.22350814 0.19783002 0.57866184]
79,79,763,[0.22571325 0.19646082 0.57782593]
80,80,787,[0.22556391 0.20157537 0.57286072]
81,81,769,[0.22666667 0.19675676 0.57657658]
82,82,781,[0.22784356 0.19806243 0.57409401]
83,83,735,[0.22181686 0.19445458 0.58372857]
84,84,824,[0.23003534 0.20459364 0.56537102]
85,85,774,[0.22482014 0.19964029 0.57553957]
86,86,776,[0.22573688 0.19913731 0.57512581]
87,87,786,[0.2256447 0.2012894 0.5730659]
88,88,813,[0.22774033 0.20468251 0.56757716]
89,89,776,[0.22645579 0.1984184  0.57512581]
90,90,789,[0.22576029 0.20178891 0.57245081]
91,91,783,[0.22768017 0.1986375  0.57368232]
92,92,177,[0.06275767 0.204306   0.73293633]
93,93,772,[0.22462203 0.19942405 0.57595392]
94,94,816,[0.22891566 0.20411056 0.56697378]
95,95,749,[0.22395644 0.19528131 0.58076225]
96,96,723,[0.21986075 0.1938439  0.58629535]
97,97,754,[0.22318841 0.19710145 0.57971014]
98,98,736,[0.22173596 0.19474836 0.58351568]
99,99,778,[0.22557471 0.19971264 0.57471264]
