,epoch,time until adapted,expectations
0,0,209,[0.27479675 0.20487805 0.5203252 ]
1,1,210,[0.27272727 0.20779221 0.51948052]
2,2,184,[0.26271186 0.19491525 0.54237288]
3,3,210,[0.27435065 0.20616883 0.51948052]
4,4,204,[0.27704918 0.19836066 0.52459016]
5,5,204,[0.26721311 0.20819672 0.52459016]
6,6,185,[0.27411168 0.18443316 0.54145516]
7,7,211,[0.27714749 0.20421394 0.51863857]
8,8,208,[0.27361564 0.20521173 0.52117264]
9,9,195,[0.27620632 0.19134775 0.53244592]
10,10,175,[0.25989673 0.18932874 0.55077453]
11,11,215,[0.2705314  0.21417069 0.51529791]
12,12,216,[0.26688103 0.21864952 0.51446945]
13,13,181,[0.26575809 0.1890971  0.5451448 ]
14,14,217,[0.27126806 0.21508828 0.51364366]
15,15,188,[0.26936027 0.19191919 0.53872054]
16,16,204,[0.27377049 0.20163934 0.52459016]
17,17,204,[0.27377049 0.20163934 0.52459016]
18,18,205,[0.27332242 0.20294599 0.52373159]
19,19,192,[0.26755853 0.19732441 0.53511706]
20,20,208,[0.26872964 0.21009772 0.52117264]
21,21,188,[0.26936027 0.19191919 0.53872054]
22,22,190,[0.26677852 0.19630872 0.53691275]
23,23,211,[0.273906   0.20745543 0.51863857]
24,24,189,[0.26890756 0.19327731 0.53781513]
25,25,190,[0.27348993 0.18959732 0.53691275]
26,26,190,[0.26677852 0.19630872 0.53691275]
27,27,210,[0.27922078 0.2012987  0.51948052]
28,28,224,[0.27460317 0.21746032 0.50793651]
29,29,190,[0.26174497 0.20134228 0.53691275]
30,30,192,[0.27424749 0.19063545 0.53511706]
31,31,190,[0.26510067 0.19798658 0.53691275]
32,32,196,[0.27408638 0.19435216 0.53156146]
33,33,189,[0.27058824 0.19159664 0.53781513]
34,34,241,[0.28902628 0.21638331 0.49459042]
35,35,197,[0.26865672 0.20066335 0.53067993]
36,36,215,[0.28180354 0.20289855 0.51529791]
37,37,205,[0.26841244 0.20785597 0.52373159]
38,38,199,[0.26115702 0.20991736 0.52892562]
39,39,200,[0.2640264  0.20792079 0.52805281]
40,40,198,[0.26821192 0.20198675 0.52980132]
41,41,191,[0.2680067 0.1959799 0.5360134]
42,42,199,[0.26446281 0.20661157 0.52892562]
43,43,210,[0.26948052 0.21103896 0.51948052]
44,44,205,[0.27823241 0.19803601 0.52373159]
45,45,186,[0.26182432 0.19763514 0.54054054]
46,46,203,[0.27750411 0.19704433 0.52545156]
47,47,201,[0.28171334 0.19110379 0.52718287]
48,48,245,[0.28110599 0.22734255 0.49155146]
49,49,190,[0.27516779 0.18791946 0.53691275]
50,50,186,[0.27195946 0.1875     0.54054054]
51,51,188,[0.26430976 0.1969697  0.53872054]
52,52,198,[0.26324503 0.20695364 0.52980132]
53,53,221,[0.27591707 0.21371611 0.51036683]
54,54,192,[0.27090301 0.19397993 0.53511706]
55,55,186,[0.26689189 0.19256757 0.54054054]
56,56,207,[0.27732463 0.20065253 0.52202284]
57,57,188,[0.26430976 0.1969697  0.53872054]
58,58,172,[0.2733564  0.17301038 0.55363322]
59,59,236,[0.27725857 0.22429907 0.49844237]
60,60,180,[0.25767918 0.19624573 0.54607509]
61,61,201,[0.26853377 0.20428336 0.52718287]
62,62,207,[0.27732463 0.20065253 0.52202284]
63,63,205,[0.27168576 0.20458265 0.52373159]
64,64,182,[0.26360544 0.19217687 0.54421769]
65,65,200,[0.27062706 0.20132013 0.52805281]
66,66,178,[0.2619863  0.19006849 0.54794521]
67,67,189,[0.26890756 0.19327731 0.53781513]
68,68,210,[0.26785714 0.21266234 0.51948052]
69,69,203,[0.27586207 0.19868637 0.52545156]
70,70,192,[0.26923077 0.19565217 0.53511706]
71,71,188,[0.26599327 0.1952862  0.53872054]
72,72,169,[0.26434783 0.17913043 0.55652174]
73,73,217,[0.27608347 0.21027287 0.51364366]
74,74,207,[0.27243067 0.20554649 0.52202284]
75,75,206,[0.27124183 0.20588235 0.52287582]
76,76,203,[0.26436782 0.21018062 0.52545156]
77,77,209,[0.27317073 0.20650407 0.5203252 ]
78,78,188,[0.26936027 0.19191919 0.53872054]
79,79,171,[0.27209705 0.17331023 0.55459272]
80,80,182,[0.27380952 0.18197279 0.54421769]
81,81,202,[0.26809211 0.20559211 0.52631579]
82,82,196,[0.27242525 0.19601329 0.53156146]
83,83,179,[0.27179487 0.18119658 0.54700855]
84,84,211,[0.273906   0.20745543 0.51863857]
85,85,190,[0.26677852 0.19630872 0.53691275]
86,86,180,[0.2662116  0.18771331 0.54607509]
87,87,177,[0.25900515 0.19210978 0.54888508]
88,88,193,[0.26711185 0.19866444 0.53422371]
89,89,191,[0.26633166 0.19765494 0.5360134 ]
90,90,194,[0.27666667 0.19       0.53333333]
91,91,209,[0.2699187 0.2097561 0.5203252]
92,92,197,[0.26533997 0.2039801  0.53067993]
93,93,207,[0.27079935 0.20717781 0.52202284]
94,94,174,[0.2637931  0.18448276 0.55172414]
95,95,185,[0.26734349 0.19120135 0.54145516]
96,96,180,[0.25938567 0.19453925 0.54607509]
97,97,181,[0.26746167 0.18739353 0.5451448 ]
98,98,202,[0.26809211 0.20559211 0.52631579]
99,99,198,[0.26986755 0.20033113 0.52980132]
