,epoch,time spent in light,amount of times swapped
0,0,100,8
1,1,100,10
2,2,100,14
3,3,100,19
4,4,100,20
5,5,100,11
6,6,100,27
7,7,100,11
8,8,100,16
9,9,100,23
10,10,100,21
11,11,100,8
12,12,100,19
13,13,100,20
14,14,100,25
15,15,100,22
16,16,100,12
17,17,100,10
18,18,100,19
19,19,100,27
20,20,100,16
21,21,100,14
22,22,100,19
23,23,100,22
24,24,100,22
25,25,100,8
26,26,100,14
27,27,100,13
28,28,100,24
29,29,100,19
30,30,100,31
31,31,100,17
32,32,100,17
33,33,100,13
34,34,100,16
35,35,100,18
36,36,100,13
37,37,100,21
38,38,100,15
39,39,100,28
40,40,100,14
41,41,100,21
42,42,100,21
43,43,100,16
44,44,100,11
45,45,100,17
46,46,100,18
47,47,100,17
48,48,100,21
49,49,100,9
50,50,100,16
51,51,100,17
52,52,100,26
53,53,100,19
54,54,100,15
55,55,100,9
56,56,100,7
57,57,100,13
58,58,100,18
59,59,100,6
60,60,100,23
61,61,100,18
62,62,100,15
63,63,100,8
64,64,100,12
65,65,100,18
66,66,100,14
67,67,100,21
68,68,100,16
69,69,100,11
70,70,100,19
71,71,100,18
72,72,100,12
73,73,100,15
74,74,100,16
75,75,100,19
76,76,100,15
77,77,100,12
78,78,100,21
79,79,100,14
80,80,100,19
81,81,100,13
82,82,100,25
83,83,100,21
84,84,100,17
85,85,100,18
86,86,100,21
87,87,100,12
88,88,100,20
89,89,100,25
90,90,100,19
91,91,100,13
92,92,100,20
93,93,100,16
94,94,100,23
95,95,100,17
96,96,100,22
97,97,100,38
98,98,100,25
99,99,100,21
