,epoch,time until adapted,expectations
0,0,217,[0.26597325 0.19910847 0.53491828]
1,1,215,[0.26229508 0.20119225 0.53651267]
2,2,189,[0.26046512 0.18139535 0.55813953]
3,3,227,[0.26647145 0.20644217 0.52708638]
4,4,209,[0.26015038 0.19849624 0.54135338]
5,5,234,[0.26521739 0.21304348 0.52173913]
6,6,204,[0.26363636 0.19090909 0.54545455]
7,7,236,[0.27023121 0.20953757 0.52023121]
8,8,235,[0.26628075 0.21273517 0.52098408]
9,9,201,[0.26027397 0.19178082 0.54794521]
10,10,225,[0.26431718 0.20704846 0.52863436]
11,11,207,[0.27300151 0.18401207 0.54298643]
12,12,232,[0.26453488 0.2122093  0.52325581]
13,13,206,[0.26283988 0.19335347 0.54380665]
14,14,221,[0.26587888 0.20236337 0.53175775]
15,15,225,[0.26725404 0.2041116  0.52863436]
16,16,236,[0.27890173 0.20086705 0.52023121]
17,17,198,[0.26299694 0.18654434 0.55045872]
18,18,212,[0.26497006 0.19610778 0.53892216]
19,19,216,[0.27083333 0.19345238 0.53571429]
20,20,213,[0.26307922 0.19880419 0.53811659]
21,21,219,[0.26518519 0.20148148 0.53333333]
22,22,213,[0.25859492 0.20328849 0.53811659]
23,23,206,[0.26586103 0.19033233 0.54380665]
24,24,228,[0.27339181 0.2002924  0.52631579]
25,25,199,[0.25954198 0.19083969 0.54961832]
26,26,216,[0.25892857 0.20535714 0.53571429]
27,27,218,[0.26261128 0.20326409 0.53412463]
28,28,215,[0.26080477 0.20268256 0.53651267]
29,29,217,[0.27340267 0.19167905 0.53491828]
30,30,235,[0.26917511 0.20984081 0.52098408]
31,31,225,[0.26284875 0.20851689 0.52863436]
32,32,213,[0.26158445 0.20029895 0.53811659]
33,33,218,[0.26854599 0.19732938 0.53412463]
34,34,195,[0.25806452 0.18894009 0.55299539]
35,35,210,[0.26726727 0.19219219 0.54054054]
36,36,202,[0.26595745 0.18693009 0.54711246]
37,37,208,[0.26656627 0.19126506 0.54216867]
38,38,199,[0.26259542 0.18778626 0.54961832]
39,39,210,[0.26726727 0.19219219 0.54054054]
40,40,217,[0.26745914 0.19762259 0.53491828]
41,41,200,[0.25914634 0.19207317 0.54878049]
42,42,232,[0.26744186 0.20930233 0.52325581]
43,43,223,[0.26362297 0.20618557 0.53019146]
44,44,210,[0.26876877 0.19069069 0.54054054]
45,45,264,[0.27222222 0.22777778 0.5       ]
46,46,235,[0.2633864  0.21562952 0.52098408]
47,47,226,[0.26392962 0.20821114 0.52785924]
48,48,216,[0.27232143 0.19196429 0.53571429]
49,49,234,[0.28405797 0.1942029  0.52173913]
50,50,236,[0.26734104 0.21242775 0.52023121]
51,51,223,[0.26067747 0.20913108 0.53019146]
52,52,235,[0.26917511 0.20984081 0.52098408]
53,53,213,[0.26307922 0.19880419 0.53811659]
54,54,216,[0.26339286 0.20089286 0.53571429]
55,55,205,[0.26172466 0.19364599 0.54462935]
56,56,231,[0.26637555 0.20960699 0.52401747]
57,57,211,[0.26236882 0.19790105 0.53973013]
58,58,210,[0.26726727 0.19219219 0.54054054]
59,59,227,[0.27379209 0.19912152 0.52708638]
60,60,211,[0.26836582 0.19190405 0.53973013]
61,61,203,[0.26251897 0.19119879 0.54628225]
62,62,208,[0.26656627 0.19126506 0.54216867]
63,63,211,[0.26536732 0.19490255 0.53973013]
64,64,204,[0.26060606 0.19393939 0.54545455]
65,65,229,[0.26861314 0.20583942 0.52554745]
66,66,226,[0.27272727 0.19941349 0.52785924]
67,67,205,[0.26323752 0.19213313 0.54462935]
68,68,206,[0.25981873 0.19637462 0.54380665]
69,69,193,[0.26194145 0.18335901 0.55469954]
70,70,216,[0.27083333 0.19345238 0.53571429]
71,71,210,[0.25975976 0.1996997  0.54054054]
72,72,187,[0.25505443 0.18506998 0.55987558]
73,73,221,[0.26292467 0.20531758 0.53175775]
74,74,203,[0.26100152 0.19271624 0.54628225]
75,75,226,[0.26832845 0.20381232 0.52785924]
76,76,197,[0.25880551 0.1898928  0.55130168]
77,77,239,[0.26618705 0.21582734 0.51798561]
78,78,208,[0.26355422 0.19427711 0.54216867]
79,79,231,[0.26637555 0.20960699 0.52401747]
80,80,209,[0.26766917 0.19097744 0.54135338]
81,81,217,[0.26894502 0.1961367  0.53491828]
82,82,208,[0.26204819 0.19578313 0.54216867]
83,83,235,[0.26772793 0.21128799 0.52098408]
84,84,221,[0.27474151 0.19350074 0.53175775]
85,85,227,[0.26939971 0.20351391 0.52708638]
86,86,218,[0.25964392 0.20623145 0.53412463]
87,87,219,[0.27111111 0.19555556 0.53333333]
88,88,214,[0.27313433 0.18955224 0.53731343]
89,89,232,[0.26889535 0.20784884 0.52325581]
90,90,232,[0.26453488 0.2122093  0.52325581]
91,91,203,[0.26707132 0.18664643 0.54628225]
92,92,232,[0.26453488 0.2122093  0.52325581]
93,93,226,[0.26832845 0.20381232 0.52785924]
94,94,219,[0.26518519 0.20148148 0.53333333]
95,95,231,[0.26491994 0.21106259 0.52401747]
96,96,212,[0.25898204 0.20209581 0.53892216]
97,97,210,[0.25975976 0.1996997  0.54054054]
98,98,218,[0.26706231 0.19881306 0.53412463]
99,99,230,[0.2696793  0.20553936 0.52478134]
