,epoch,time until adapted,expectations
0,0,414,[0.24507042 0.1915493  0.56338028]
1,1,464,[0.24217687 0.21360544 0.54421769]
2,2,393,[0.23588277 0.1922802  0.57183703]
3,3,388,[0.23170732 0.19440459 0.57388809]
4,4,416,[0.23909986 0.19831224 0.5625879 ]
5,5,417,[0.23612087 0.20168658 0.56219255]
6,6,412,[0.24118477 0.19464034 0.56417489]
7,7,441,[0.24049758 0.20663442 0.552868  ]
8,8,391,[0.23335719 0.19398712 0.57265569]
9,9,436,[0.240638   0.20457698 0.55478502]
10,10,449,[0.24398625 0.20618557 0.54982818]
11,11,440,[0.2406639  0.20608575 0.55325035]
12,12,393,[0.23802716 0.19013581 0.57183703]
13,13,424,[0.23706294 0.2034965  0.55944056]
14,14,413,[0.23890063 0.19732206 0.56377731]
15,15,411,[0.23923783 0.19618913 0.56457304]
16,16,429,[0.24529617 0.19721254 0.55749129]
17,17,403,[0.238467   0.19375444 0.56777857]
18,18,408,[0.23408769 0.20014144 0.56577086]
19,19,434,[0.23958333 0.20486111 0.55555556]
20,20,424,[0.23846154 0.2020979  0.55944056]
21,21,443,[0.24361629 0.20427881 0.5521049 ]
22,22,435,[0.24288688 0.2019431  0.55517002]
23,23,428,[0.24058577 0.20153417 0.55788006]
24,24,454,[0.24589041 0.20616438 0.54794521]
25,25,407,[0.23708422 0.19674452 0.56617127]
26,26,423,[0.24142757 0.19874038 0.55983205]
27,27,406,[0.23654391 0.19688385 0.56657224]
28,28,414,[0.24084507 0.19577465 0.56338028]
29,29,431,[0.2414753  0.20180932 0.55671538]
30,30,451,[0.24159231 0.20933425 0.54907344]
31,31,461,[0.24744376 0.20722563 0.54533061]
32,32,418,[0.24087079 0.19733146 0.56179775]
33,33,411,[0.23923783 0.19618913 0.56457304]
34,34,393,[0.23516798 0.192995   0.57183703]
35,35,399,[0.24128114 0.18932384 0.56939502]
36,36,445,[0.2432805 0.2053756 0.5513439]
37,37,424,[0.23706294 0.2034965  0.55944056]
38,38,382,[0.23487032 0.18876081 0.57636888]
39,39,424,[0.23986014 0.2006993  0.55944056]
40,40,407,[0.23779193 0.1960368  0.56617127]
41,41,391,[0.23478883 0.19255548 0.57265569]
42,42,438,[0.24099723 0.20498615 0.55401662]
43,43,430,[0.24164345 0.20125348 0.55710306]
44,44,446,[0.24173554 0.20730028 0.55096419]
45,45,445,[0.24259132 0.20606478 0.5513439 ]
46,46,411,[0.23570924 0.19971771 0.56457304]
47,47,393,[0.23445318 0.19370979 0.57183703]
48,48,445,[0.2432805 0.2053756 0.5513439]
49,49,402,[0.23650568 0.1953125  0.56818182]
50,50,420,[0.24053296 0.19845722 0.56100982]
51,51,398,[0.23504274 0.1951567  0.56980057]
52,52,443,[0.24223602 0.20565908 0.5521049 ]
53,53,448,[0.24209078 0.20770289 0.55020633]
54,54,432,[0.23922114 0.20445063 0.55632823]
55,55,412,[0.23695346 0.19887165 0.56417489]
56,56,429,[0.24041812 0.20209059 0.55749129]
57,57,431,[0.24217119 0.20111343 0.55671538]
58,58,440,[0.24204703 0.20470263 0.55325035]
59,59,410,[0.24152542 0.19350282 0.56497175]
60,60,434,[0.24444444 0.2        0.55555556]
61,61,438,[0.24307479 0.20290859 0.55401662]
62,62,381,[0.23576063 0.18745494 0.57678443]
63,63,467,[0.24575696 0.21113374 0.5431093 ]
64,64,428,[0.24058577 0.20153417 0.55788006]
65,65,405,[0.23742027 0.19560595 0.56697378]
66,66,400,[0.23755334 0.19345661 0.56899004]
67,67,435,[0.24011103 0.20471895 0.55517002]
68,68,396,[0.2360913  0.19329529 0.57061341]
69,69,411,[0.24064926 0.1947777  0.56457304]
70,70,468,[0.24355495 0.21370421 0.54274084]
71,71,432,[0.23922114 0.20445063 0.55632823]
72,72,427,[0.2414515  0.20027913 0.55826936]
73,73,412,[0.23977433 0.19605078 0.56417489]
74,74,425,[0.24109015 0.19986024 0.55904962]
75,75,423,[0.24002799 0.20013996 0.55983205]
76,76,406,[0.23583569 0.19759207 0.56657224]
77,77,451,[0.24502402 0.20590254 0.54907344]
78,78,412,[0.24118477 0.19464034 0.56417489]
79,79,418,[0.24016854 0.19803371 0.56179775]
80,80,479,[0.24848485 0.21279461 0.53872054]
81,81,433,[0.24252953 0.20152884 0.55594163]
82,82,399,[0.23701068 0.19359431 0.56939502]
83,83,408,[0.23691655 0.19731259 0.56577086]
84,84,436,[0.24133148 0.2038835  0.55478502]
85,85,453,[0.24400274 0.20767649 0.54832077]
86,86,416,[0.23909986 0.19831224 0.5625879 ]
87,87,421,[0.23966363 0.19971969 0.56061668]
88,88,394,[0.23571429 0.19285714 0.57142857]
89,89,422,[0.24019608 0.19957983 0.56022409]
90,90,389,[0.23655914 0.18996416 0.5734767 ]
91,91,416,[0.23769339 0.19971871 0.5625879 ]
92,92,472,[0.24695535 0.21177267 0.54127199]
93,93,431,[0.2407794  0.20250522 0.55671538]
94,94,422,[0.23459384 0.20518207 0.56022409]
95,95,469,[0.25084746 0.20677966 0.54237288]
96,96,457,[0.24196856 0.21120984 0.5468216 ]
97,97,402,[0.24147727 0.19034091 0.56818182]
98,98,439,[0.24221453 0.20415225 0.55363322]
99,99,434,[0.24097222 0.20347222 0.55555556]
