,epoch,time until adapted,expectations
0,0,219,[0.26206897 0.1862069  0.55172414]
1,1,237,[0.25975774 0.20188425 0.53835801]
2,2,242,[0.25935829 0.20588235 0.53475936]
3,3,263,[0.26527958 0.21456437 0.52015605]
4,4,251,[0.2681638  0.20343461 0.52840159]
5,5,237,[0.26379542 0.19784657 0.53835801]
6,6,246,[0.25797872 0.21010638 0.53191489]
7,7,234,[0.25405405 0.20540541 0.54054054]
8,8,11,[0.01934236 0.20696325 0.77369439]
9,9,227,[0.25648022 0.19781719 0.54570259]
10,10,273,[0.26700899 0.2195122  0.51347882]
11,11,205,[0.25457103 0.18284107 0.5625879 ]
12,12,233,[0.26387009 0.19485792 0.54127199]
13,13,248,[0.26127321 0.20822281 0.53050398]
14,14,268,[0.26485788 0.21834625 0.51679587]
15,15,205,[0.25316456 0.18424754 0.5625879 ]
16,16,228,[0.26566757 0.1893733  0.54495913]
17,17,224,[0.26164384 0.19041096 0.54794521]
18,18,226,[0.26092896 0.19262295 0.54644809]
19,19,234,[0.26756757 0.19189189 0.54054054]
20,20,226,[0.25546448 0.19808743 0.54644809]
21,21,224,[0.26027397 0.19178082 0.54794521]
22,22,228,[0.25476839 0.20027248 0.54495913]
23,23,242,[0.26336898 0.20187166 0.53475936]
24,24,235,[0.26450742 0.19568151 0.53981107]
25,25,210,[0.25698324 0.18435754 0.55865922]
26,26,235,[0.25775978 0.20242915 0.53981107]
27,27,233,[0.26116373 0.19756428 0.54127199]
28,28,249,[0.25960265 0.21059603 0.52980132]
29,29,239,[0.26174497 0.20134228 0.53691275]
30,30,228,[0.27247956 0.18256131 0.54495913]
31,31,254,[0.26578947 0.20789474 0.52631579]
32,32,254,[0.26578947 0.20789474 0.52631579]
33,33,263,[0.26657997 0.21326398 0.52015605]
34,34,229,[0.25986395 0.19591837 0.54421769]
35,35,216,[0.25623269 0.18975069 0.55401662]
36,36,240,[0.26407507 0.1997319  0.53619303]
37,37,218,[0.25414365 0.19337017 0.55248619]
38,38,278,[0.26658163 0.22321429 0.51020408]
39,39,246,[0.26595745 0.20212766 0.53191489]
40,40,205,[0.25175809 0.18565401 0.5625879 ]
41,41,235,[0.25641026 0.20377868 0.53981107]
42,42,250,[0.26587302 0.20502646 0.52910053]
43,43,257,[0.2621232  0.21363041 0.5242464 ]
44,44,216,[0.25484765 0.19113573 0.55401662]
45,45,224,[0.25890411 0.19315068 0.54794521]
46,46,233,[0.25439783 0.20433018 0.54127199]
47,47,239,[0.26174497 0.20134228 0.53691275]
48,48,220,[0.26170799 0.18732782 0.55096419]
49,49,229,[0.26122449 0.19455782 0.54421769]
50,50,216,[0.26038781 0.18559557 0.55401662]
51,51,253,[0.26218709 0.21080369 0.52700922]
52,52,254,[0.26842105 0.20526316 0.52631579]
53,53,249,[0.25827815 0.21192053 0.52980132]
54,54,254,[0.26184211 0.21184211 0.52631579]
55,55,252,[0.2651715  0.20712401 0.52770449]
56,56,227,[0.27012278 0.18417462 0.54570259]
57,57,251,[0.2681638  0.20343461 0.52840159]
58,58,231,[0.2578019  0.19945726 0.54274084]
59,59,241,[0.25970549 0.20481928 0.53547523]
60,60,61,[0.09171076 0.20282187 0.70546737]
61,61,246,[0.26595745 0.20212766 0.53191489]
62,62,227,[0.25920873 0.19508868 0.54570259]
63,63,227,[0.25920873 0.19508868 0.54570259]
64,64,250,[0.27380952 0.19708995 0.52910053]
65,65,221,[0.25722146 0.19257221 0.55020633]
66,66,236,[0.25876011 0.20215633 0.53908356]
67,67,243,[0.26301736 0.20293725 0.53404539]
68,68,236,[0.2574124  0.20350404 0.53908356]
69,69,218,[0.26519337 0.18232044 0.55248619]
70,70,232,[0.25609756 0.20189702 0.54200542]
71,71,243,[0.26835781 0.1975968  0.53404539]
72,72,222,[0.25412088 0.19642857 0.54945055]
73,73,253,[0.26218709 0.21080369 0.52700922]
74,74,221,[0.25584594 0.19394773 0.55020633]
75,75,240,[0.25871314 0.20509383 0.53619303]
76,76,247,[0.26294821 0.20584329 0.5312085 ]
77,77,228,[0.26021798 0.19482289 0.54495913]
78,78,240,[0.25737265 0.20643432 0.53619303]
79,79,243,[0.26168224 0.20427236 0.53404539]
80,80,215,[0.25658807 0.18862691 0.55478502]
81,81,227,[0.25920873 0.19508868 0.54570259]
82,82,246,[0.2606383  0.20744681 0.53191489]
83,83,226,[0.25956284 0.19398907 0.54644809]
84,84,234,[0.27027027 0.18918919 0.54054054]
85,85,226,[0.2568306  0.19672131 0.54644809]
86,86,244,[0.26       0.20666667 0.53333333]
87,87,251,[0.2655218  0.20607662 0.52840159]
88,88,235,[0.25641026 0.20377868 0.53981107]
89,89,228,[0.25340599 0.20163488 0.54495913]
90,90,221,[0.26272352 0.18707015 0.55020633]
91,91,212,[0.25766017 0.18523677 0.55710306]
92,92,236,[0.26010782 0.20080863 0.53908356]
93,93,217,[0.25587828 0.19087137 0.55325035]
94,94,235,[0.25641026 0.20377868 0.53981107]
95,95,205,[0.25316456 0.18424754 0.5625879 ]
96,96,225,[0.25991792 0.19288646 0.54719562]
97,97,256,[0.26509186 0.20997375 0.52493438]
98,98,228,[0.25885559 0.19618529 0.54495913]
99,99,279,[0.26878981 0.22165605 0.50955414]
