,epoch,time spent in light,amount of times swapped
0,0,100,17
1,1,100,15
2,2,100,19
3,3,100,19
4,4,100,21
5,5,100,18
6,6,100,23
7,7,100,32
8,8,100,23
9,9,100,16
10,10,100,29
11,11,100,17
12,12,100,16
13,13,100,17
14,14,100,12
15,15,100,17
16,16,100,20
17,17,100,20
18,18,100,31
19,19,100,15
20,20,100,16
21,21,100,22
22,22,100,27
23,23,100,25
24,24,100,15
25,25,100,19
26,26,100,12
27,27,100,31
28,28,100,7
29,29,100,33
30,30,100,17
31,31,100,21
32,32,100,20
33,33,100,17
34,34,100,25
35,35,100,19
36,36,100,16
37,37,100,17
38,38,100,17
39,39,100,18
40,40,100,20
41,41,100,27
42,42,100,12
43,43,100,27
44,44,100,25
45,45,100,16
46,46,100,26
47,47,100,17
48,48,100,9
49,49,100,27
50,50,100,18
51,51,100,22
52,52,100,13
53,53,100,27
54,54,100,21
55,55,100,27
56,56,100,15
57,57,100,24
58,58,100,15
59,59,100,23
60,60,100,28
61,61,100,21
62,62,100,19
63,63,100,26
64,64,100,29
65,65,100,25
66,66,100,25
67,67,100,22
68,68,100,20
69,69,100,28
70,70,100,19
71,71,100,29
72,72,100,16
73,73,100,21
74,74,100,26
75,75,100,14
76,76,100,21
77,77,100,33
78,78,100,36
79,79,100,25
80,80,100,19
81,81,100,18
82,82,100,23
83,83,100,22
84,84,100,37
85,85,100,19
86,86,100,33
87,87,100,26
88,88,100,11
89,89,100,18
90,90,100,35
91,91,100,20
92,92,100,23
93,93,100,28
94,94,100,23
95,95,100,23
96,96,100,25
97,97,100,9
98,98,100,34
99,99,100,31
