,epoch,time until adapted,expectations
0,0,283,[0.26579261 0.20977354 0.52443385]
1,1,255,[0.25893958 0.19852035 0.54254007]
2,2,267,[0.26245443 0.20291616 0.5346294 ]
3,3,256,[0.25492611 0.20320197 0.54187192]
4,4,266,[0.25425791 0.21046229 0.53527981]
5,5,255,[0.26263872 0.19482121 0.54254007]
6,6,256,[0.25615764 0.20197044 0.54187192]
7,7,253,[0.25834363 0.19777503 0.54388133]
8,8,254,[0.25432099 0.20246914 0.54320988]
9,9,267,[0.27582017 0.18955043 0.5346294 ]
10,10,43,[0.06010017 0.20534224 0.7345576 ]
11,11,256,[0.25492611 0.20320197 0.54187192]
12,12,242,[0.25814536 0.19047619 0.55137845]
13,13,250,[0.26054591 0.19354839 0.54590571]
14,14,253,[0.26081582 0.19530284 0.54388133]
15,15,286,[0.26484561 0.21258907 0.52256532]
16,16,245,[0.25093633 0.19975031 0.54931336]
17,17,259,[0.25521472 0.20490798 0.5398773 ]
18,18,253,[0.25587145 0.20024722 0.54388133]
19,19,264,[0.25853659 0.20487805 0.53658537]
20,20,245,[0.25717853 0.19350811 0.54931336]
21,21,258,[0.25798526 0.2014742  0.54054054]
22,22,240,[0.25376884 0.19346734 0.55276382]
23,23,272,[0.25845411 0.21014493 0.53140097]
24,24,263,[0.25885226 0.2039072  0.53724054]
25,25,272,[0.26328502 0.20531401 0.53140097]
26,26,243,[0.25657071 0.19274093 0.55068836]
27,27,266,[0.25912409 0.20559611 0.53527981]
28,28,236,[0.25378788 0.19065657 0.55555556]
29,29,257,[0.25707257 0.20172202 0.54120541]
30,30,254,[0.26419753 0.19259259 0.54320988]
31,31,270,[0.26150121 0.20581114 0.53268765]
32,32,277,[0.26530612 0.20648259 0.52821128]
33,33,239,[0.26289308 0.1836478  0.55345912]
34,34,253,[0.25710754 0.19901112 0.54388133]
35,35,255,[0.25154131 0.20591862 0.54254007]
36,36,271,[0.25997582 0.20798065 0.53204353]
37,37,240,[0.25125628 0.1959799  0.55276382]
38,38,252,[0.25866337 0.19678218 0.54455446]
39,39,272,[0.25845411 0.21014493 0.53140097]
40,40,265,[0.26065773 0.20341048 0.53593179]
41,41,250,[0.26054591 0.19354839 0.54590571]
42,42,253,[0.25587145 0.20024722 0.54388133]
43,43,259,[0.25889571 0.20122699 0.5398773 ]
44,44,265,[0.25334957 0.21071864 0.53593179]
45,45,270,[0.26150121 0.20581114 0.53268765]
46,46,258,[0.25307125 0.20638821 0.54054054]
47,47,251,[0.25774473 0.19702602 0.54522924]
48,48,261,[0.26315789 0.19828641 0.53855569]
49,49,238,[0.25314861 0.19269521 0.55415617]
50,50,277,[0.26530612 0.20648259 0.52821128]
51,51,263,[0.26007326 0.2026862  0.53724054]
52,52,246,[0.25311721 0.19825436 0.54862843]
53,53,241,[0.25345044 0.1944793  0.55207026]
54,54,230,[0.25826972 0.18193384 0.55979644]
55,55,265,[0.25943971 0.2046285  0.53593179]
56,56,235,[0.2528445 0.1908976 0.5562579]
57,57,251,[0.26146221 0.19330855 0.54522924]
58,58,268,[0.26456311 0.20145631 0.53398058]
59,59,257,[0.2595326  0.19926199 0.54120541]
60,60,261,[0.25458996 0.20685435 0.53855569]
61,61,245,[0.25093633 0.19975031 0.54931336]
62,62,250,[0.25682382 0.19727047 0.54590571]
63,63,232,[0.25126904 0.19035533 0.55837563]
64,64,258,[0.25552826 0.2039312  0.54054054]
65,65,251,[0.26270136 0.19206939 0.54522924]
66,66,255,[0.26140567 0.19605425 0.54254007]
67,67,245,[0.25842697 0.19225968 0.54931336]
68,68,237,[0.25598991 0.18915511 0.55485498]
69,69,252,[0.25123762 0.20420792 0.54455446]
70,70,252,[0.25371287 0.20173267 0.54455446]
71,71,293,[0.26266196 0.21908127 0.51825677]
72,72,245,[0.25967541 0.19101124 0.54931336]
73,73,249,[0.25217391 0.20124224 0.54658385]
74,74,272,[0.25966184 0.2089372  0.53140097]
75,75,253,[0.25834363 0.19777503 0.54388133]
76,76,254,[0.25925926 0.19753086 0.54320988]
77,77,230,[0.25826972 0.18193384 0.55979644]
78,78,292,[0.26415094 0.21698113 0.51886792]
79,79,270,[0.26029056 0.20702179 0.53268765]
80,80,264,[0.25853659 0.20487805 0.53658537]
81,81,284,[0.26547619 0.21071429 0.52380952]
82,82,232,[0.25126904 0.19035533 0.55837563]
83,83,240,[0.25502513 0.19221106 0.55276382]
84,84,278,[0.26019185 0.21223022 0.52757794]
85,85,253,[0.25710754 0.19901112 0.54388133]
86,86,245,[0.25717853 0.19350811 0.54931336]
87,87,249,[0.25838509 0.19503106 0.54658385]
88,88,266,[0.25912409 0.20559611 0.53527981]
89,89,229,[0.25350318 0.18598726 0.56050955]
90,90,228,[0.24872449 0.19005102 0.56122449]
91,91,271,[0.25876663 0.20918984 0.53204353]
92,92,252,[0.25990099 0.19554455 0.54455446]
93,93,277,[0.26170468 0.21008403 0.52821128]
94,94,257,[0.25707257 0.20172202 0.54120541]
95,95,247,[0.25902864 0.19302615 0.54794521]
96,96,247,[0.26276463 0.18929016 0.54794521]
97,97,246,[0.25685786 0.19451372 0.54862843]
98,98,233,[0.24968314 0.19264892 0.55766793]
99,99,266,[0.26034063 0.20437956 0.53527981]
