,epoch,time until adapted,expectations
0,0,676,[0.23968836 0.21035747 0.54995417]
1,1,596,[0.22882969 0.20028544 0.57088487]
2,2,577,[0.22899664 0.19491119 0.57609217]
3,3,563,[0.2257129  0.19429676 0.57999033]
4,4,542,[0.22460938 0.18945312 0.5859375 ]
5,5,600,[0.2317189  0.19848053 0.56980057]
6,6,621,[0.23319229 0.20263282 0.56417489]
7,7,606,[0.23153409 0.20028409 0.56818182]
8,8,652,[0.23679333 0.20713624 0.55607044]
9,9,623,[0.23203382 0.20432128 0.5636449 ]
10,10,618,[0.23493409 0.20009416 0.56497175]
11,11,598,[0.22956274 0.20009506 0.57034221]
12,12,594,[0.23       0.19857143 0.57142857]
13,13,579,[0.22829736 0.19616307 0.57553957]
14,14,651,[0.23551229 0.20815948 0.55632823]
15,15,626,[0.23311445 0.20403377 0.56285178]
16,16,643,[0.23452769 0.20707306 0.55839926]
17,17,625,[0.23416237 0.20272173 0.56311591]
18,18,605,[0.2330649  0.19848413 0.56845097]
19,19,602,[0.23339658 0.19734345 0.56925996]
20,20,594,[0.22952381 0.19904762 0.57142857]
21,21,612,[0.23087819 0.20254958 0.56657224]
22,22,590,[0.22900763 0.19847328 0.57251908]
23,23,631,[0.23350491 0.20496022 0.56153486]
24,24,600,[0.2302944  0.19990503 0.56980057]
25,25,617,[0.2312765  0.20348563 0.56523787]
26,26,637,[0.23331778 0.20671955 0.55996267]
27,27,639,[0.23449883 0.20606061 0.55944056]
28,28,641,[0.23567769 0.20540289 0.55891942]
29,29,613,[0.23171307 0.20198207 0.56630486]
30,30,592,[0.23307912 0.19494757 0.57197331]
31,31,622,[0.23120301 0.20488722 0.56390977]
32,32,617,[0.23363165 0.20113048 0.56523787]
33,33,589,[0.22911695 0.19809069 0.57279236]
34,34,561,[0.22738268 0.1920658  0.58055152]
35,35,672,[0.23783287 0.21120294 0.55096419]
36,36,565,[0.22790922 0.19266055 0.57943023]
37,37,557,[0.22636937 0.19195347 0.58167717]
38,38,604,[0.23033175 0.20094787 0.56872038]
39,39,600,[0.2317189  0.19848053 0.56980057]
40,40,599,[0.2304038  0.19952494 0.57007126]
41,41,615,[0.23290901 0.20132013 0.56577086]
42,42,592,[0.22974261 0.19828408 0.57197331]
43,43,600,[0.23219373 0.1980057  0.56980057]
44,44,637,[0.23425105 0.20578628 0.55996267]
45,45,592,[0.23212583 0.19590086 0.57197331]
46,46,606,[0.23200758 0.19981061 0.56818182]
47,47,626,[0.23405253 0.20309568 0.56285178]
48,48,581,[0.22855774 0.19645424 0.57498802]
49,49,602,[0.22865275 0.20208729 0.56925996]
50,50,617,[0.23174753 0.2030146  0.56523787]
51,51,574,[0.22596154 0.19711538 0.57692308]
52,52,623,[0.23485204 0.20150305 0.5636449 ]
53,53,583,[0.22881762 0.19674485 0.57443753]
54,54,563,[0.22764621 0.19236346 0.57999033]
55,55,577,[0.22995679 0.19395103 0.57609217]
56,56,598,[0.23146388 0.19819392 0.57034221]
57,57,628,[0.23336457 0.20431115 0.56232427]
58,58,550,[0.2266537  0.18968872 0.58365759]
59,59,597,[0.23252496 0.19686163 0.57061341]
60,60,562,[0.22823985 0.19148936 0.58027079]
61,61,612,[0.22946176 0.20396601 0.56657224]
62,62,614,[0.23301887 0.2009434  0.56603774]
63,63,620,[0.23424271 0.20131703 0.56444026]
64,64,593,[0.23058599 0.1977132  0.57170081]
65,65,629,[0.23372365 0.20421546 0.56206089]
66,66,572,[0.22906641 0.19345525 0.57747834]
67,67,588,[0.22874881 0.19818529 0.5730659 ]
68,68,589,[0.22816229 0.19904535 0.57279236]
69,69,598,[0.22908745 0.20057034 0.57034221]
70,70,611,[0.23193198 0.20122815 0.56683987]
71,71,574,[0.22836538 0.19471154 0.57692308]
72,72,615,[0.23196605 0.20226308 0.56577086]
73,73,584,[0.22727273 0.19856459 0.57416268]
74,74,614,[0.23349057 0.2004717  0.56603774]
75,75,615,[0.2310231  0.20320603 0.56577086]
76,76,635,[0.23633816 0.20317609 0.56048575]
77,77,617,[0.23221856 0.20254357 0.56523787]
78,78,600,[0.22934473 0.2008547  0.56980057]
79,79,623,[0.23297323 0.20338187 0.5636449 ]
80,80,601,[0.23065971 0.19981016 0.56953014]
81,81,602,[0.22912713 0.2016129  0.56925996]
82,82,569,[0.22891566 0.19277108 0.57831325]
83,83,591,[0.23128278 0.19647115 0.57224607]
84,84,606,[0.23011364 0.20170455 0.56818182]
85,85,620,[0.23236124 0.20319849 0.56444026]
86,86,615,[0.23055163 0.20367751 0.56577086]
87,87,665,[0.23952096 0.20773837 0.55274067]
88,88,572,[0.22858518 0.19393648 0.57747834]
89,89,561,[0.22786647 0.191582   0.58055152]
90,90,606,[0.23200758 0.19981061 0.56818182]
91,91,644,[0.23488372 0.20697674 0.55813953]
92,92,616,[0.2332705  0.20122526 0.56550424]
93,93,608,[0.23131504 0.20104068 0.56764428]
94,94,615,[0.23290901 0.20132013 0.56577086]
95,95,632,[0.23292797 0.20579981 0.56127222]
96,96,603,[0.23138928 0.19962067 0.56899004]
97,97,605,[0.22880152 0.20274751 0.56845097]
98,98,587,[0.22981366 0.19684663 0.5733397 ]
99,99,569,[0.22891566 0.19277108 0.57831325]
