,epoch,time spent in light,amount of times swapped
0,0,100,24
1,1,100,19
2,2,100,33
3,3,100,37
4,4,100,25
5,5,100,28
6,6,100,19
7,7,100,37
8,8,100,10
9,9,100,34
10,10,100,23
11,11,100,22
12,12,100,21
13,13,100,17
14,14,100,38
15,15,100,37
16,16,100,35
17,17,100,34
18,18,100,17
19,19,100,25
20,20,100,38
21,21,100,13
22,22,100,31
23,23,100,21
24,24,100,15
25,25,100,24
26,26,100,19
27,27,100,17
28,28,100,23
29,29,100,19
30,30,100,29
31,31,100,30
32,32,100,29
33,33,100,16
34,34,100,19
35,35,100,23
36,36,100,29
37,37,100,27
38,38,100,34
39,39,100,13
40,40,100,24
41,41,100,28
42,42,100,31
43,43,100,24
44,44,100,33
45,45,100,28
46,46,100,27
47,47,100,15
48,48,100,44
49,49,100,20
50,50,100,23
51,51,100,30
52,52,100,17
53,53,100,36
54,54,100,20
55,55,100,22
56,56,100,30
57,57,100,19
58,58,100,37
59,59,100,29
60,60,100,37
61,61,100,23
62,62,100,24
63,63,100,25
64,64,100,29
65,65,100,25
66,66,100,38
67,67,100,30
68,68,100,29
69,69,100,26
70,70,100,16
71,71,100,29
72,72,100,33
73,73,100,25
74,74,100,28
75,75,100,26
76,76,100,17
77,77,100,22
78,78,100,17
79,79,100,29
80,80,100,19
81,81,100,17
82,82,100,18
83,83,100,30
84,84,100,34
85,85,100,45
86,86,100,13
87,87,100,25
88,88,100,15
89,89,100,23
90,90,100,35
91,91,100,22
92,92,100,11
93,93,100,24
94,94,100,25
95,95,100,30
96,96,100,26
97,97,100,15
98,98,100,21
99,99,100,21
