,epoch,time spent in light,amount of times swapped
0,0,100,32
1,1,100,19
2,2,100,24
3,3,100,17
4,4,100,33
5,5,100,33
6,6,100,34
7,7,100,29
8,8,100,19
9,9,100,23
10,10,100,26
11,11,100,23
12,12,100,29
13,13,100,29
14,14,100,26
15,15,100,24
16,16,100,25
17,17,100,34
18,18,100,28
19,19,100,28
20,20,100,43
21,21,100,37
22,22,100,25
23,23,100,23
24,24,100,28
25,25,100,33
26,26,100,25
27,27,100,27
28,28,100,23
29,29,100,21
30,30,100,32
31,31,100,29
32,32,100,32
33,33,100,25
34,34,100,17
35,35,100,37
36,36,100,35
37,37,100,18
38,38,100,35
39,39,100,30
40,40,100,18
41,41,100,27
42,42,100,29
43,43,100,34
44,44,100,34
45,45,100,24
46,46,100,29
47,47,100,27
48,48,100,25
49,49,100,15
50,50,100,28
51,51,100,24
52,52,100,26
53,53,100,25
54,54,100,23
55,55,100,35
56,56,100,28
57,57,100,18
58,58,100,31
59,59,100,27
60,60,100,36
61,61,100,40
62,62,100,11
63,63,100,28
64,64,100,27
65,65,100,28
66,66,100,35
67,67,100,26
68,68,100,24
69,69,100,23
70,70,100,24
71,71,100,34
72,72,100,33
73,73,100,18
74,74,100,21
75,75,100,26
76,76,100,18
77,77,100,24
78,78,100,41
79,79,100,24
80,80,100,31
81,81,100,31
82,82,100,29
83,83,100,22
84,84,100,24
85,85,100,38
86,86,100,25
87,87,100,22
88,88,100,28
89,89,100,27
90,90,100,32
91,91,100,40
92,92,100,25
93,93,100,24
94,94,100,21
95,95,100,40
96,96,100,39
97,97,100,37
98,98,100,37
99,99,100,34
