,epoch,time spent in light,amount of times swapped
0,0,100,21
1,1,100,23
2,2,100,28
3,3,100,17
4,4,100,15
5,5,100,20
6,6,100,25
7,7,100,18
8,8,100,27
9,9,100,26
10,10,100,19
11,11,100,25
12,12,100,28
13,13,100,17
14,14,100,15
15,15,100,25
16,16,100,18
17,17,100,20
18,18,100,28
19,19,100,18
20,20,100,25
21,21,100,22
22,22,100,18
23,23,100,18
24,24,100,28
25,25,100,30
26,26,100,24
27,27,100,19
28,28,100,32
29,29,100,12
30,30,100,13
31,31,100,21
32,32,100,21
33,33,100,27
34,34,100,21
35,35,100,23
36,36,100,19
37,37,100,25
38,38,100,11
39,39,100,17
40,40,100,10
41,41,100,19
42,42,100,15
43,43,100,19
44,44,100,25
45,45,100,16
46,46,100,21
47,47,100,9
48,48,100,19
49,49,100,29
50,50,100,27
51,51,100,22
52,52,100,23
53,53,100,28
54,54,100,18
55,55,100,23
56,56,100,17
57,57,100,30
58,58,100,21
59,59,100,23
60,60,100,11
61,61,100,12
62,62,100,14
63,63,100,23
64,64,100,27
65,65,100,17
66,66,100,14
67,67,100,14
68,68,100,17
69,69,100,18
70,70,100,18
71,71,100,35
72,72,100,23
73,73,100,17
74,74,100,15
75,75,100,29
76,76,100,28
77,77,100,26
78,78,100,16
79,79,100,23
80,80,100,19
81,81,100,22
82,82,100,17
83,83,100,19
84,84,100,26
85,85,100,23
86,86,100,26
87,87,100,14
88,88,100,20
89,89,100,20
90,90,100,24
91,91,100,26
92,92,100,19
93,93,100,26
94,94,100,20
95,95,100,11
96,96,100,24
97,97,100,23
98,98,100,24
99,99,100,12
