,epoch,time until adapted,expectations
0,0,54,[0.34375 0.15625 0.5    ]
1,1,63,[0.34319527 0.18343195 0.47337278]
2,2,52,[0.32278481 0.17088608 0.50632911]
3,3,64,[0.34705882 0.18235294 0.47058824]
4,4,63,[0.31360947 0.21301775 0.47337278]
5,5,60,[0.3253012  0.19277108 0.48192771]
6,6,79,[0.36216216 0.20540541 0.43243243]
7,7,79,[0.34054054 0.22702703 0.43243243]
8,8,59,[0.32727273 0.18787879 0.48484848]
9,9,76,[0.33516484 0.22527473 0.43956044]
10,10,65,[0.34502924 0.1871345  0.46783626]
11,11,74,[0.33888889 0.21666667 0.44444444]
12,12,58,[0.31707317 0.19512195 0.48780488]
13,13,61,[0.32934132 0.19161677 0.47904192]
14,14,56,[0.32716049 0.17901235 0.49382716]
15,15,63,[0.32544379 0.20118343 0.47337278]
16,16,74,[0.32777778 0.22777778 0.44444444]
17,17,70,[0.35795455 0.1875     0.45454545]
18,18,73,[0.32960894 0.22346369 0.44692737]
19,19,69,[0.33714286 0.20571429 0.45714286]
20,20,69,[0.32       0.22285714 0.45714286]
21,21,66,[0.33139535 0.20348837 0.46511628]
22,22,76,[0.34615385 0.21428571 0.43956044]
23,23,67,[0.32947977 0.20809249 0.46242775]
24,24,64,[0.32941176 0.2        0.47058824]
25,25,69,[0.33714286 0.20571429 0.45714286]
26,26,62,[0.33333333 0.19047619 0.47619048]
27,27,66,[0.3372093  0.19767442 0.46511628]
28,28,54,[0.3375 0.1625 0.5   ]
29,29,61,[0.33532934 0.18562874 0.47904192]
30,30,57,[0.33128834 0.17791411 0.49079755]
31,31,62,[0.36309524 0.16071429 0.47619048]
32,32,61,[0.34730539 0.17365269 0.47904192]
33,33,77,[0.36612022 0.19672131 0.43715847]
34,34,62,[0.32142857 0.20238095 0.47619048]
35,35,68,[0.33908046 0.20114943 0.45977011]
36,36,61,[0.37724551 0.14371257 0.47904192]
37,37,68,[0.37356322 0.16666667 0.45977011]
38,38,57,[0.33128834 0.17791411 0.49079755]
39,39,65,[0.31578947 0.21637427 0.46783626]
40,40,57,[0.32515337 0.18404908 0.49079755]
41,41,68,[0.34482759 0.1954023  0.45977011]
42,42,59,[0.33333333 0.18181818 0.48484848]
43,43,60,[0.31927711 0.19879518 0.48192771]
44,44,61,[0.31736527 0.20359281 0.47904192]
45,45,74,[0.33888889 0.21666667 0.44444444]
46,46,65,[0.35087719 0.18128655 0.46783626]
47,47,66,[0.33139535 0.20348837 0.46511628]
48,48,59,[0.32727273 0.18787879 0.48484848]
49,49,58,[0.32317073 0.18902439 0.48780488]
50,50,61,[0.32934132 0.19161677 0.47904192]
51,51,60,[0.3313253  0.18674699 0.48192771]
52,52,66,[0.34302326 0.19186047 0.46511628]
53,53,62,[0.31547619 0.20833333 0.47619048]
54,54,68,[0.34482759 0.1954023  0.45977011]
55,55,69,[0.34285714 0.2        0.45714286]
56,56,68,[0.32758621 0.21264368 0.45977011]
57,57,66,[0.31976744 0.21511628 0.46511628]
58,58,62,[0.3452381  0.17857143 0.47619048]
59,59,70,[0.33522727 0.21022727 0.45454545]
60,60,68,[0.34482759 0.1954023  0.45977011]
61,61,64,[0.32941176 0.2        0.47058824]
62,62,57,[0.32515337 0.18404908 0.49079755]
63,63,56,[0.33333333 0.17283951 0.49382716]
64,64,67,[0.32947977 0.20809249 0.46242775]
65,65,62,[0.31547619 0.20833333 0.47619048]
66,66,65,[0.32748538 0.20467836 0.46783626]
67,67,64,[0.34705882 0.18235294 0.47058824]
68,68,63,[0.33727811 0.18934911 0.47337278]
69,69,59,[0.33333333 0.18181818 0.48484848]
70,70,64,[0.32941176 0.2        0.47058824]
71,71,62,[0.33333333 0.19047619 0.47619048]
72,72,58,[0.32317073 0.18902439 0.48780488]
73,73,69,[0.34285714 0.2        0.45714286]
74,74,68,[0.35632184 0.18390805 0.45977011]
75,75,72,[0.31460674 0.23595506 0.4494382 ]
76,76,55,[0.32298137 0.18012422 0.49689441]
77,77,65,[0.30409357 0.22807018 0.46783626]
78,78,73,[0.34636872 0.20670391 0.44692737]
79,79,63,[0.34319527 0.18343195 0.47337278]
80,80,63,[0.33727811 0.18934911 0.47337278]
81,81,71,[0.32768362 0.22033898 0.4519774 ]
82,82,70,[0.33522727 0.21022727 0.45454545]
83,83,61,[0.32934132 0.19161677 0.47904192]
84,84,87,[0.33678756 0.24870466 0.41450777]
85,85,67,[0.34682081 0.19075145 0.46242775]
86,86,73,[0.34078212 0.2122905  0.44692737]
87,87,64,[0.32352941 0.20588235 0.47058824]
88,88,68,[0.33908046 0.20114943 0.45977011]
89,89,75,[0.33701657 0.22099448 0.44198895]
90,90,59,[0.33939394 0.17575758 0.48484848]
91,91,70,[0.375      0.17045455 0.45454545]
92,92,72,[0.33707865 0.21348315 0.4494382 ]
93,93,65,[0.32163743 0.21052632 0.46783626]
94,94,69,[0.33142857 0.21142857 0.45714286]
95,95,62,[0.32738095 0.19642857 0.47619048]
96,96,61,[0.33532934 0.18562874 0.47904192]
97,97,60,[0.31325301 0.20481928 0.48192771]
98,98,58,[0.32317073 0.18902439 0.48780488]
99,99,69,[0.33714286 0.20571429 0.45714286]
