,epoch,time spent in light,amount of times swapped
0,0,100,22
1,1,100,26
2,2,100,30
3,3,100,20
4,4,100,6
5,5,100,11
6,6,100,22
7,7,100,17
8,8,100,19
9,9,100,9
10,10,100,17
11,11,100,16
12,12,100,15
13,13,100,10
14,14,100,28
15,15,100,15
16,16,100,19
17,17,100,9
18,18,100,9
19,19,100,16
20,20,100,21
21,21,100,23
22,22,100,11
23,23,100,11
24,24,100,21
25,25,100,15
26,26,100,14
27,27,100,11
28,28,100,12
29,29,100,13
30,30,100,21
31,31,100,18
32,32,100,14
33,33,100,17
34,34,100,21
35,35,100,16
36,36,100,17
37,37,100,33
38,38,100,20
39,39,100,12
40,40,100,23
41,41,100,15
42,42,100,27
43,43,100,16
44,44,100,20
45,45,100,29
46,46,100,12
47,47,100,26
48,48,100,18
49,49,100,23
50,50,100,21
51,51,100,18
52,52,100,13
53,53,100,20
54,54,100,14
55,55,100,18
56,56,100,8
57,57,100,16
58,58,100,12
59,59,100,11
60,60,100,19
61,61,100,19
62,62,100,21
63,63,100,25
64,64,100,21
65,65,100,29
66,66,100,9
67,67,100,21
68,68,100,20
69,69,100,27
70,70,100,32
71,71,100,27
72,72,100,17
73,73,100,15
74,74,100,19
75,75,100,20
76,76,100,15
77,77,100,14
78,78,100,15
79,79,100,13
80,80,100,9
81,81,100,14
82,82,100,15
83,83,100,22
84,84,100,15
85,85,100,24
86,86,100,12
87,87,100,15
88,88,100,16
89,89,100,14
90,90,100,31
91,91,100,16
92,92,100,10
93,93,100,9
94,94,100,16
95,95,100,14
96,96,100,13
97,97,100,18
98,98,100,23
99,99,100,17
