,epoch,time spent in light,amount of times swapped
0,0,100,29
1,1,100,24
2,2,100,19
3,3,100,39
4,4,100,39
5,5,100,28
6,6,100,35
7,7,100,28
8,8,100,21
9,9,100,27
10,10,100,27
11,11,100,18
12,12,100,40
13,13,100,31
14,14,100,29
15,15,100,16
16,16,100,21
17,17,100,28
18,18,100,16
19,19,100,22
20,20,100,35
21,21,100,27
22,22,100,22
23,23,100,22
24,24,100,24
25,25,100,33
26,26,100,26
27,27,100,28
28,28,100,24
29,29,100,25
30,30,100,28
31,31,100,25
32,32,100,6
33,33,100,27
34,34,100,25
35,35,100,21
36,36,100,16
37,37,100,28
38,38,100,30
39,39,100,20
40,40,100,30
41,41,100,27
42,42,100,43
43,43,100,18
44,44,100,30
45,45,100,19
46,46,100,25
47,47,100,27
48,48,100,25
49,49,100,27
50,50,100,29
51,51,100,23
52,52,100,22
53,53,100,17
54,54,100,35
55,55,100,33
56,56,100,34
57,57,100,30
58,58,100,40
59,59,100,34
60,60,100,13
61,61,100,34
62,62,100,30
63,63,100,31
64,64,100,22
65,65,100,32
66,66,100,32
67,67,100,14
68,68,100,41
69,69,100,19
70,70,100,19
71,71,100,35
72,72,100,17
73,73,100,26
74,74,100,35
75,75,100,15
76,76,100,26
77,77,100,27
78,78,100,28
79,79,100,21
80,80,100,18
81,81,100,28
82,82,100,28
83,83,100,29
84,84,100,36
85,85,100,15
86,86,100,23
87,87,100,29
88,88,100,29
89,89,100,22
90,90,100,21
91,91,100,12
92,92,100,27
93,93,100,27
94,94,100,32
95,95,100,23
96,96,100,32
97,97,100,27
98,98,100,31
99,99,100,25
