,epoch,time spent in light,amount of times swapped
0,0,100,28
1,1,100,28
2,2,100,30
3,3,100,16
4,4,100,23
5,5,100,15
6,6,100,25
7,7,100,30
8,8,100,36
9,9,100,32
10,10,100,33
11,11,100,15
12,12,100,30
13,13,100,25
14,14,100,18
15,15,100,27
16,16,100,19
17,17,100,30
18,18,100,20
19,19,100,21
20,20,100,28
21,21,100,25
22,22,100,31
23,23,100,18
24,24,100,24
25,25,100,36
26,26,100,21
27,27,100,30
28,28,100,36
29,29,100,14
30,30,100,26
31,31,100,16
32,32,100,18
33,33,100,19
34,34,100,18
35,35,100,21
36,36,100,24
37,37,100,32
38,38,100,19
39,39,100,14
40,40,100,28
41,41,100,33
42,42,100,22
43,43,100,21
44,44,100,19
45,45,100,25
46,46,100,29
47,47,100,15
48,48,100,27
49,49,100,18
50,50,100,37
51,51,100,22
52,52,100,28
53,53,100,25
54,54,100,27
55,55,100,41
56,56,100,31
57,57,100,23
58,58,100,24
59,59,100,11
60,60,100,28
61,61,100,33
62,62,100,17
63,63,100,26
64,64,100,29
65,65,100,24
66,66,100,23
67,67,100,18
68,68,100,25
69,69,100,17
70,70,100,19
71,71,100,31
72,72,100,24
73,73,100,37
74,74,100,18
75,75,100,23
76,76,100,35
77,77,100,11
78,78,100,22
79,79,100,31
80,80,100,19
81,81,100,28
82,82,100,22
83,83,100,24
84,84,100,27
85,85,100,33
86,86,100,14
87,87,100,31
88,88,100,29
89,89,100,31
90,90,100,33
91,91,100,21
92,92,100,29
93,93,100,35
94,94,100,22
95,95,100,26
96,96,100,22
97,97,100,17
98,98,100,22
99,99,100,28
