,epoch,time spent in light,amount of times swapped
0,0,100,32
1,1,100,13
2,2,100,25
3,3,100,19
4,4,100,22
5,5,100,25
6,6,100,26
7,7,100,23
8,8,100,25
9,9,100,20
10,10,100,32
11,11,100,28
12,12,100,25
13,13,100,14
14,14,100,19
15,15,100,24
16,16,100,29
17,17,100,22
18,18,100,16
19,19,100,31
20,20,100,19
21,21,100,23
22,22,100,26
23,23,100,18
24,24,100,21
25,25,100,18
26,26,100,17
27,27,100,17
28,28,100,21
29,29,100,14
30,30,100,25
31,31,100,3
32,32,100,28
33,33,100,21
34,34,100,30
35,35,100,21
36,36,100,20
37,37,100,27
38,38,100,19
39,39,100,18
40,40,100,20
41,41,100,20
42,42,100,21
43,43,100,22
44,44,100,30
45,45,100,9
46,46,100,27
47,47,100,21
48,48,100,14
49,49,100,20
50,50,100,27
51,51,100,28
52,52,100,16
53,53,100,13
54,54,100,25
55,55,100,21
56,56,100,26
57,57,100,35
58,58,100,22
59,59,100,25
60,60,100,28
61,61,100,22
62,62,100,30
63,63,100,19
64,64,100,27
65,65,100,16
66,66,100,24
67,67,100,19
68,68,100,21
69,69,100,24
70,70,100,20
71,71,100,21
72,72,100,24
73,73,100,18
74,74,100,21
75,75,100,19
76,76,100,10
77,77,100,13
78,78,100,20
79,79,100,15
80,80,100,21
81,81,100,6
82,82,100,28
83,83,100,23
84,84,100,21
85,85,100,13
86,86,100,11
87,87,100,16
88,88,100,11
89,89,100,18
90,90,100,20
91,91,100,14
92,92,100,22
93,93,100,21
94,94,100,24
95,95,100,31
96,96,100,15
97,97,100,27
98,98,100,40
99,99,100,25
