,epoch,time until adapted,expectations
0,0,152,[0.28165939 0.19432314 0.52401747]
1,1,98,[0.21039604 0.19554455 0.59405941]
2,2,162,[0.27991453 0.20726496 0.51282051]
3,3,178,[0.29545455 0.20867769 0.49586777]
4,4,158,[0.27801724 0.20474138 0.51724138]
5,5,141,[0.26845638 0.19463087 0.53691275]
6,6,144,[0.29555556 0.17111111 0.53333333]
7,7,170,[0.28571429 0.21008403 0.50420168]
8,8,150,[0.27192982 0.20175439 0.52631579]
9,9,143,[0.27394209 0.19153675 0.53452116]
10,10,153,[0.291939   0.18518519 0.52287582]
11,11,168,[0.29324895 0.20042194 0.50632911]
12,12,150,[0.29166667 0.18201754 0.52631579]
13,13,160,[0.28111588 0.20386266 0.51502146]
14,14,149,[0.27472527 0.1978022  0.52747253]
15,15,163,[0.28997868 0.19829424 0.51172708]
16,16,149,[0.27912088 0.19340659 0.52747253]
17,17,137,[0.27539503 0.18284424 0.54176072]
18,18,163,[0.28144989 0.20682303 0.51172708]
19,19,152,[0.28165939 0.19432314 0.52401747]
20,20,150,[0.2872807  0.18640351 0.52631579]
21,21,1,[0.00651466 0.21172638 0.78175896]
22,22,146,[0.27212389 0.19690265 0.53097345]
23,23,157,[0.28725702 0.19438445 0.51835853]
24,24,161,[0.2869379  0.19914347 0.51391863]
25,25,151,[0.29540481 0.17943107 0.52516411]
26,26,163,[0.28784648 0.20042644 0.51172708]
27,27,142,[0.27901786 0.18526786 0.53571429]
28,28,156,[0.29004329 0.19047619 0.51948052]
29,29,162,[0.28205128 0.20512821 0.51282051]
30,30,148,[0.27312775 0.19823789 0.52863436]
31,31,148,[0.27312775 0.19823789 0.52863436]
32,32,148,[0.27312775 0.19823789 0.52863436]
33,33,144,[0.27555556 0.19111111 0.53333333]
34,34,151,[0.27352298 0.20131291 0.52516411]
35,35,163,[0.2771855  0.21108742 0.51172708]
36,36,146,[0.27876106 0.19026549 0.53097345]
37,37,150,[0.28508772 0.18859649 0.52631579]
38,38,139,[0.27191011 0.18876404 0.53932584]
39,39,158,[0.28663793 0.19612069 0.51724138]
40,40,159,[0.29247312 0.19139785 0.51612903]
41,41,161,[0.28907923 0.19700214 0.51391863]
42,42,153,[0.2832244  0.19389978 0.52287582]
43,43,175,[0.28898129 0.21205821 0.4989605 ]
44,44,174,[0.28541667 0.21458333 0.5       ]
45,45,139,[0.28314607 0.17752809 0.53932584]
46,46,163,[0.28784648 0.20042644 0.51172708]
47,47,148,[0.27753304 0.1938326  0.52863436]
48,48,162,[0.28632479 0.2008547  0.51282051]
49,49,134,[0.275      0.17954545 0.54545455]
50,50,142,[0.27901786 0.18526786 0.53571429]
51,51,152,[0.27947598 0.19650655 0.52401747]
52,52,140,[0.2735426  0.18834081 0.53811659]
53,53,137,[0.2731377  0.18510158 0.54176072]
54,54,145,[0.27716186 0.19068736 0.53215078]
55,55,142,[0.27901786 0.18526786 0.53571429]
56,56,151,[0.27571116 0.19912473 0.52516411]
57,57,175,[0.28066528 0.22037422 0.4989605 ]
58,58,159,[0.28817204 0.19569892 0.51612903]
59,59,164,[0.28297872 0.20638298 0.5106383 ]
60,60,140,[0.27578475 0.18609865 0.53811659]
61,61,155,[0.28416486 0.19522777 0.52060738]
62,62,148,[0.28193833 0.18942731 0.52863436]
63,63,142,[0.27455357 0.18973214 0.53571429]
64,64,155,[0.27548807 0.20390456 0.52060738]
65,65,147,[0.28476821 0.18543046 0.52980132]
66,66,149,[0.27252747 0.2        0.52747253]
67,67,178,[0.2892562  0.21487603 0.49586777]
68,68,164,[0.27659574 0.21276596 0.5106383 ]
69,69,137,[0.27539503 0.18284424 0.54176072]
70,70,160,[0.29184549 0.19313305 0.51502146]
71,71,154,[0.27173913 0.20652174 0.52173913]
72,72,166,[0.27966102 0.21186441 0.50847458]
73,73,137,[0.29345372 0.16478555 0.54176072]
74,74,150,[0.2872807  0.18640351 0.52631579]
75,75,149,[0.27912088 0.19340659 0.52747253]
76,76,160,[0.28111588 0.20386266 0.51502146]
77,77,154,[0.27391304 0.20434783 0.52173913]
78,78,143,[0.27171492 0.19376392 0.53452116]
79,79,157,[0.27861771 0.20302376 0.51835853]
80,80,146,[0.27433628 0.19469027 0.53097345]
81,81,153,[0.2788671  0.19825708 0.52287582]
82,82,145,[0.27494457 0.19290466 0.53215078]
83,83,156,[0.27705628 0.2034632  0.51948052]
84,84,157,[0.27213823 0.20950324 0.51835853]
85,85,143,[0.26948775 0.19599109 0.53452116]
86,86,152,[0.27074236 0.20524017 0.52401747]
87,87,141,[0.28411633 0.17897092 0.53691275]
88,88,152,[0.27292576 0.20305677 0.52401747]
89,89,151,[0.27352298 0.20131291 0.52516411]
90,90,147,[0.27593819 0.19426049 0.52980132]
91,91,155,[0.28416486 0.19522777 0.52060738]
92,92,155,[0.27765727 0.20173536 0.52060738]
93,93,162,[0.28632479 0.2008547  0.51282051]
94,94,150,[0.27850877 0.19517544 0.52631579]
95,95,154,[0.2826087  0.19565217 0.52173913]
96,96,150,[0.28508772 0.18859649 0.52631579]
97,97,161,[0.27837259 0.20770878 0.51391863]
98,98,151,[0.28884026 0.18599562 0.52516411]
99,99,152,[0.26855895 0.20742358 0.52401747]
