,epoch,time until adapted,expectations
0,0,281,[0.25591883 0.20293123 0.54114994]
1,1,272,[0.25398633 0.19931663 0.54669704]
2,2,297,[0.26135105 0.20708749 0.53156146]
3,3,277,[0.25368063 0.20271801 0.54360136]
4,4,277,[0.25821065 0.198188   0.54360136]
5,5,294,[0.26222222 0.20444444 0.53333333]
6,6,264,[0.25057471 0.19770115 0.55172414]
7,7,277,[0.26047565 0.19592299 0.54360136]
8,8,275,[0.25312145 0.20204313 0.54483541]
9,9,261,[0.25490196 0.19146482 0.55363322]
10,10,262,[0.25115207 0.19585253 0.55299539]
11,11,271,[0.25655644 0.19612315 0.54732041]
12,12,284,[0.25393258 0.20674157 0.53932584]
13,13,275,[0.25652667 0.19863791 0.54483541]
14,14,286,[0.26008969 0.20179372 0.53811659]
15,15,268,[0.25400458 0.19679634 0.54919908]
16,16,279,[0.25875706 0.19887006 0.54237288]
17,17,272,[0.25170843 0.20159453 0.54669704]
18,18,264,[0.25402299 0.19425287 0.55172414]
19,19,279,[0.25310734 0.20451977 0.54237288]
20,20,270,[0.24885845 0.20319635 0.54794521]
21,21,297,[0.25913621 0.20930233 0.53156146]
22,22,277,[0.25594564 0.200453   0.54360136]
23,23,277,[0.25481314 0.2015855  0.54360136]
24,24,271,[0.25997719 0.19270239 0.54732041]
25,25,278,[0.25904977 0.1979638  0.54298643]
26,26,264,[0.25057471 0.19770115 0.55172414]
27,27,286,[0.25672646 0.20515695 0.53811659]
28,28,265,[0.24913892 0.19977038 0.5510907 ]
29,29,258,[0.25462963 0.18981481 0.55555556]
30,30,263,[0.25201381 0.19562716 0.55235903]
31,31,295,[0.2563818 0.2108768 0.5327414]
32,32,283,[0.25084364 0.20922385 0.53993251]
33,33,236,[0.24821853 0.18171021 0.57007126]
34,34,265,[0.25143513 0.19747417 0.5510907 ]
35,35,264,[0.25632184 0.19195402 0.55172414]
36,36,267,[0.25085911 0.19931271 0.54982818]
37,37,262,[0.24884793 0.19815668 0.55299539]
38,38,286,[0.2544843  0.2073991  0.53811659]
39,39,235,[0.24613555 0.18311534 0.57074911]
40,40,266,[0.25229358 0.19724771 0.55045872]
41,41,246,[0.25234742 0.1842723  0.56338028]
42,42,294,[0.25555556 0.21111111 0.53333333]
43,43,283,[0.2632171  0.19685039 0.53993251]
44,44,272,[0.25512528 0.19817768 0.54669704]
45,45,244,[0.24705882 0.18823529 0.56470588]
46,46,276,[0.25623583 0.19954649 0.54421769]
47,47,275,[0.25425653 0.20090806 0.54483541]
48,48,297,[0.26024363 0.20819491 0.53156146]
49,49,248,[0.24941452 0.18852459 0.56206089]
50,50,263,[0.24971231 0.19792865 0.55235903]
51,51,283,[0.25871766 0.20134983 0.53993251]
52,52,276,[0.2585034  0.19727891 0.54421769]
53,53,286,[0.25672646 0.20515695 0.53811659]
54,54,259,[0.2566474  0.18843931 0.55491329]
55,55,268,[0.25514874 0.19565217 0.54919908]
56,56,259,[0.24624277 0.19884393 0.55491329]
57,57,275,[0.25652667 0.19863791 0.54483541]
58,58,290,[0.25558036 0.20870536 0.53571429]
59,59,309,[0.27103825 0.20437158 0.52459016]
60,60,282,[0.25563063 0.20382883 0.54054054]
61,61,284,[0.26853933 0.19213483 0.53932584]
62,62,269,[0.25257143 0.19885714 0.54857143]
63,63,262,[0.25       0.19700461 0.55299539]
64,64,312,[0.26470588 0.2124183  0.52287582]
65,65,268,[0.25171625 0.19908467 0.54919908]
66,66,270,[0.25114155 0.20091324 0.54794521]
67,67,276,[0.25170068 0.20408163 0.54421769]
68,68,303,[0.25742574 0.21452145 0.52805281]
69,69,256,[0.25406032 0.18909513 0.55684455]
70,70,280,[0.25056433 0.20767494 0.54176072]
71,71,238,[0.24763033 0.18364929 0.56872038]
72,72,280,[0.25846501 0.19977427 0.54176072]
73,73,291,[0.26198439 0.20289855 0.53511706]
74,74,276,[0.25396825 0.20181406 0.54421769]
75,75,258,[0.25578704 0.18865741 0.55555556]
76,76,279,[0.25762712 0.2        0.54237288]
77,77,262,[0.25230415 0.19470046 0.55299539]
78,78,255,[0.25667828 0.18583043 0.55749129]
79,79,270,[0.26255708 0.18949772 0.54794521]
80,80,238,[0.242891   0.18838863 0.56872038]
81,81,283,[0.2575928  0.20247469 0.53993251]
82,82,258,[0.25462963 0.18981481 0.55555556]
83,83,239,[0.24142012 0.19053254 0.56804734]
84,84,273,[0.25483504 0.19908987 0.54607509]
85,85,277,[0.25481314 0.2015855  0.54360136]
86,86,298,[0.25774336 0.21128319 0.53097345]
87,87,285,[0.25028058 0.21099888 0.53872054]
88,88,256,[0.25058005 0.19257541 0.55684455]
89,89,297,[0.25802879 0.21040975 0.53156146]
90,90,267,[0.25544101 0.19473081 0.54982818]
91,91,271,[0.25655644 0.19612315 0.54732041]
92,92,283,[0.25871766 0.20134983 0.53993251]
93,93,295,[0.25749168 0.20976693 0.5327414 ]
94,94,267,[0.25315006 0.19702176 0.54982818]
95,95,282,[0.2545045  0.20495495 0.54054054]
96,96,272,[0.25512528 0.19817768 0.54669704]
97,97,284,[0.25505618 0.20561798 0.53932584]
98,98,260,[0.2551963  0.19053118 0.55427252]
99,99,265,[0.25487945 0.19402985 0.5510907 ]
