,epoch,time spent in light,amount of times swapped
0,0,100,23
1,1,100,12
2,2,100,19
3,3,100,26
4,4,100,25
5,5,100,22
6,6,100,22
7,7,100,27
8,8,100,18
9,9,100,16
10,10,100,28
11,11,100,19
12,12,100,23
13,13,100,17
14,14,100,25
15,15,100,19
16,16,100,19
17,17,100,16
18,18,100,21
19,19,100,17
20,20,100,20
21,21,100,28
22,22,100,22
23,23,100,21
24,24,100,9
25,25,100,13
26,26,100,21
27,27,100,26
28,28,100,18
29,29,100,16
30,30,100,15
31,31,100,17
32,32,100,21
33,33,100,17
34,34,100,6
35,35,100,21
36,36,100,18
37,37,100,16
38,38,100,18
39,39,100,21
40,40,100,13
41,41,100,9
42,42,100,21
43,43,100,14
44,44,100,23
45,45,100,21
46,46,100,25
47,47,100,18
48,48,100,22
49,49,100,26
50,50,100,21
51,51,100,21
52,52,100,23
53,53,100,25
54,54,100,22
55,55,100,25
56,56,100,22
57,57,100,21
58,58,100,18
59,59,100,24
60,60,100,25
61,61,100,24
62,62,100,21
63,63,100,22
64,64,100,20
65,65,100,13
66,66,100,19
67,67,100,24
68,68,100,20
69,69,100,11
70,70,100,16
71,71,100,17
72,72,100,28
73,73,100,23
74,74,100,29
75,75,100,25
76,76,100,8
77,77,100,21
78,78,100,24
79,79,100,17
80,80,100,21
81,81,100,12
82,82,100,18
83,83,100,16
84,84,100,19
85,85,100,13
86,86,100,19
87,87,100,15
88,88,100,22
89,89,100,19
90,90,100,24
91,91,100,17
92,92,100,18
93,93,100,24
94,94,100,26
95,95,100,19
96,96,100,16
97,97,100,16
98,98,100,23
99,99,100,18
