,epoch,time until adapted,expectations
0,0,129,[0.2961039  0.18441558 0.51948052]
1,1,134,[0.29487179 0.19230769 0.51282051]
2,2,132,[0.28865979 0.19587629 0.51546392]
3,3,133,[0.30077121 0.18508997 0.51413882]
4,4,135,[0.29411765 0.1943734  0.51150895]
5,5,150,[0.28817734 0.21921182 0.49261084]
6,6,149,[0.29382716 0.21234568 0.49382716]
7,7,144,[0.3075 0.1925 0.5   ]
8,8,132,[0.28350515 0.20103093 0.51546392]
9,9,131,[0.29198966 0.19121447 0.51679587]
10,10,130,[0.27979275 0.20207254 0.51813472]
11,11,126,[0.28534031 0.19109948 0.52356021]
12,12,129,[0.2961039  0.18441558 0.51948052]
13,13,123,[0.29023747 0.18205805 0.52770449]
14,14,134,[0.28205128 0.20512821 0.51282051]
15,15,137,[0.29770992 0.19338422 0.50890585]
16,16,120,[0.28191489 0.18617021 0.53191489]
17,17,130,[0.29533679 0.1865285  0.51813472]
18,18,117,[0.27882038 0.1849866  0.53619303]
19,19,135,[0.28388747 0.20460358 0.51150895]
20,20,134,[0.30769231 0.17948718 0.51282051]
21,21,132,[0.28865979 0.19587629 0.51546392]
22,22,142,[0.29899497 0.19849246 0.50251256]
23,23,130,[0.30051813 0.18134715 0.51813472]
24,24,135,[0.28388747 0.20460358 0.51150895]
25,25,147,[0.28287841 0.22084367 0.49627792]
26,26,151,[0.3046683  0.2039312  0.49140049]
27,27,128,[0.28125    0.19791667 0.52083333]
28,28,135,[0.29923274 0.18925831 0.51150895]
29,29,122,[0.28042328 0.19047619 0.52910053]
30,30,148,[0.29455446 0.21039604 0.4950495 ]
31,31,130,[0.28497409 0.19689119 0.51813472]
32,32,120,[0.28191489 0.18617021 0.53191489]
33,33,144,[0.3025 0.1975 0.5   ]
34,34,142,[0.3040201  0.19346734 0.50251256]
35,35,150,[0.28817734 0.21921182 0.49261084]
36,36,131,[0.27906977 0.20413437 0.51679587]
37,37,129,[0.28051948 0.2        0.51948052]
38,38,131,[0.31007752 0.17312661 0.51679587]
39,39,144,[0.2925 0.2075 0.5   ]
40,40,142,[0.29145729 0.20603015 0.50251256]
41,41,129,[0.2987013  0.18181818 0.51948052]
42,42,142,[0.28894472 0.20854271 0.50251256]
43,43,150,[0.28571429 0.22167488 0.49261084]
44,44,140,[0.2979798  0.1969697  0.50505051]
45,45,144,[0.29 0.21 0.5 ]
46,46,162,[0.29904306 0.22248804 0.4784689 ]
47,47,125,[0.2992126  0.17585302 0.52493438]
48,48,117,[0.3002681  0.16353887 0.53619303]
49,49,139,[0.2835443  0.21012658 0.50632911]
50,50,141,[0.28715365 0.20906801 0.50377834]
51,51,136,[0.28571429 0.20408163 0.51020408]
52,52,120,[0.27659574 0.19148936 0.53191489]
53,53,113,[0.27642276 0.18157182 0.54200542]
54,54,140,[0.29292929 0.2020202  0.50505051]
55,55,127,[0.28981723 0.18798956 0.52219321]
56,56,127,[0.3002611  0.17754569 0.52219321]
57,57,131,[0.29457364 0.18863049 0.51679587]
58,58,138,[0.28680203 0.20558376 0.50761421]
59,59,145,[0.2967581  0.20448878 0.49875312]
60,60,172,[0.29672897 0.23598131 0.46728972]
61,61,148,[0.28465347 0.22029703 0.4950495 ]
62,62,166,[0.29146919 0.23459716 0.47393365]
63,63,129,[0.29090909 0.18961039 0.51948052]
64,64,142,[0.29396985 0.20351759 0.50251256]
65,65,123,[0.28496042 0.18733509 0.52770449]
66,66,147,[0.29280397 0.21091811 0.49627792]
67,67,143,[0.28822055 0.21052632 0.50125313]
68,68,144,[0.2925 0.2075 0.5   ]
69,69,151,[0.28992629 0.21867322 0.49140049]
70,70,126,[0.28272251 0.19371728 0.52356021]
71,71,144,[0.2825 0.2175 0.5   ]
72,72,133,[0.28020566 0.20565553 0.51413882]
73,73,139,[0.28607595 0.20759494 0.50632911]
74,74,122,[0.28835979 0.18253968 0.52910053]
75,75,156,[0.29368932 0.22087379 0.48543689]
76,76,134,[0.27948718 0.20769231 0.51282051]
77,77,135,[0.28900256 0.19948849 0.51150895]
78,78,147,[0.28784119 0.21588089 0.49627792]
79,79,128,[0.28645833 0.19270833 0.52083333]
80,80,125,[0.29396325 0.18110236 0.52493438]
81,81,150,[0.29064039 0.21674877 0.49261084]
82,82,133,[0.28020566 0.20565553 0.51413882]
83,83,135,[0.30690537 0.18158568 0.51150895]
84,84,137,[0.30279898 0.18829517 0.50890585]
85,85,138,[0.28172589 0.2106599  0.50761421]
86,86,124,[0.28157895 0.19210526 0.52631579]
87,87,115,[0.28301887 0.17789757 0.53908356]
88,88,138,[0.29187817 0.20050761 0.50761421]
89,89,129,[0.28571429 0.19480519 0.51948052]
90,90,125,[0.2808399  0.19422572 0.52493438]
91,91,131,[0.31007752 0.17312661 0.51679587]
92,92,124,[0.29473684 0.17894737 0.52631579]
93,93,120,[0.27393617 0.19414894 0.53191489]
94,94,136,[0.29336735 0.19642857 0.51020408]
95,95,127,[0.28981723 0.18798956 0.52219321]
96,96,149,[0.29135802 0.21481481 0.49382716]
97,97,137,[0.28498728 0.20610687 0.50890585]
98,98,146,[0.30099502 0.20149254 0.49751244]
99,99,136,[0.28571429 0.20408163 0.51020408]
