,epoch,time until adapted,expectations
0,0,174,[0.2754717  0.19622642 0.52830189]
1,1,189,[0.28256881 0.20366972 0.51376147]
2,2,163,[0.27360308 0.18689788 0.53949904]
3,3,175,[0.27683616 0.19585687 0.52730697]
4,4,145,[0.26147705 0.17964072 0.55888224]
5,5,173,[0.27221172 0.19848771 0.52930057]
6,6,185,[0.26987061 0.21256932 0.51756007]
7,7,167,[0.27533461 0.18929254 0.53537285]
8,8,175,[0.27118644 0.20150659 0.52730697]
9,9,187,[0.27992634 0.20441989 0.51565378]
10,10,173,[0.26465028 0.20604915 0.52930057]
11,11,187,[0.27992634 0.20441989 0.51565378]
12,12,181,[0.27560521 0.20297952 0.52141527]
13,13,174,[0.27924528 0.19245283 0.52830189]
14,14,200,[0.27877698 0.2176259  0.50359712]
15,15,158,[0.28210117 0.17315175 0.54474708]
16,16,168,[0.27480916 0.19083969 0.53435115]
17,17,182,[0.26951673 0.21003717 0.5204461 ]
18,18,172,[0.27272727 0.1969697  0.53030303]
19,19,179,[0.27102804 0.20560748 0.52336449]
20,20,178,[0.27715356 0.19850187 0.52434457]
21,21,167,[0.27724665 0.1873805  0.53537285]
22,22,176,[0.27255639 0.20112782 0.52631579]
23,23,180,[0.26865672 0.20895522 0.52238806]
24,24,170,[0.2756654  0.19201521 0.53231939]
25,25,176,[0.27067669 0.20300752 0.52631579]
26,26,165,[0.27447217 0.18809981 0.53742802]
27,27,163,[0.27360308 0.18689788 0.53949904]
28,28,167,[0.27342256 0.19120459 0.53537285]
29,29,164,[0.28076923 0.18076923 0.53846154]
30,30,168,[0.27290076 0.19274809 0.53435115]
31,31,186,[0.26752768 0.21586716 0.51660517]
32,32,178,[0.28464419 0.19101124 0.52434457]
33,33,176,[0.27443609 0.19924812 0.52631579]
34,34,162,[0.26640927 0.19305019 0.54054054]
35,35,165,[0.27639155 0.18618042 0.53742802]
36,36,197,[0.29113924 0.20253165 0.50632911]
37,37,184,[0.27037037 0.21111111 0.51851852]
38,38,167,[0.28489484 0.17973231 0.53537285]
39,39,159,[0.26019417 0.1961165  0.54368932]
40,40,183,[0.27829314 0.20222635 0.51948052]
41,41,172,[0.27083333 0.19886364 0.53030303]
42,42,176,[0.27819549 0.19548872 0.52631579]
43,43,178,[0.26779026 0.20786517 0.52434457]
44,44,175,[0.2693032  0.20338983 0.52730697]
45,45,185,[0.27356747 0.20887246 0.51756007]
46,46,167,[0.27151052 0.19311663 0.53537285]
47,47,194,[0.27454545 0.21636364 0.50909091]
48,48,192,[0.27554745 0.21350365 0.51094891]
49,49,177,[0.27204503 0.20262664 0.52532833]
50,50,185,[0.2754159  0.20702403 0.51756007]
51,51,199,[0.28288288 0.21261261 0.5045045 ]
52,52,168,[0.27862595 0.1870229  0.53435115]
53,53,180,[0.27798507 0.19962687 0.52238806]
54,54,188,[0.27022059 0.21507353 0.51470588]
55,55,159,[0.26796117 0.18834951 0.54368932]
56,56,155,[0.26614481 0.18590998 0.54794521]
57,57,190,[0.27838828 0.20879121 0.51282051]
58,58,159,[0.26990291 0.18640777 0.54368932]
59,59,175,[0.27495292 0.19774011 0.52730697]
60,60,186,[0.27306273 0.2103321  0.51660517]
61,61,168,[0.26526718 0.20038168 0.53435115]
62,62,174,[0.26981132 0.20188679 0.52830189]
63,63,172,[0.27083333 0.19886364 0.53030303]
64,64,157,[0.26705653 0.1871345  0.54580897]
65,65,185,[0.2754159  0.20702403 0.51756007]
66,66,193,[0.28233151 0.20765027 0.51001821]
67,67,177,[0.27579737 0.1988743  0.52532833]
68,68,176,[0.26879699 0.20488722 0.52631579]
69,69,165,[0.27447217 0.18809981 0.53742802]
70,70,175,[0.27118644 0.20150659 0.52730697]
71,71,164,[0.28076923 0.18076923 0.53846154]
72,72,184,[0.27222222 0.20925926 0.51851852]
73,73,182,[0.27137546 0.20817844 0.5204461 ]
74,74,172,[0.27840909 0.19128788 0.53030303]
75,75,179,[0.27102804 0.20560748 0.52336449]
76,76,160,[0.27713178 0.18023256 0.54263566]
77,77,185,[0.2754159  0.20702403 0.51756007]
78,78,186,[0.27121771 0.21217712 0.51660517]
79,79,170,[0.2756654  0.19201521 0.53231939]
80,80,157,[0.27680312 0.17738791 0.54580897]
81,81,176,[0.27443609 0.19924812 0.52631579]
82,82,182,[0.27509294 0.20446097 0.5204461 ]
83,83,171,[0.27134725 0.19734345 0.5313093 ]
84,84,214,[0.28596491 0.22280702 0.49122807]
85,85,165,[0.27639155 0.18618042 0.53742802]
86,86,160,[0.27325581 0.18410853 0.54263566]
87,87,169,[0.26857143 0.19809524 0.53333333]
88,88,185,[0.27726433 0.2051756  0.51756007]
89,89,174,[0.28490566 0.18679245 0.52830189]
90,90,182,[0.27509294 0.20446097 0.5204461 ]
91,91,182,[0.27695167 0.20260223 0.5204461 ]
92,92,193,[0.27504554 0.21493625 0.51001821]
93,93,195,[0.27767695 0.21415608 0.50816697]
94,94,156,[0.26757812 0.18554688 0.546875  ]
95,95,185,[0.26987061 0.21256932 0.51756007]
96,96,167,[0.26959847 0.19502868 0.53537285]
97,97,169,[0.26666667 0.2        0.53333333]
98,98,173,[0.27599244 0.19470699 0.52930057]
99,99,157,[0.26705653 0.1871345  0.54580897]
