,epoch,time spent in light,amount of times swapped
0,0,100,16
1,1,100,20
2,2,100,16
3,3,100,25
4,4,100,23
5,5,100,31
6,6,100,23
7,7,100,12
8,8,100,19
9,9,100,25
10,10,100,27
11,11,100,20
12,12,100,21
13,13,100,11
14,14,100,17
15,15,100,18
16,16,100,24
17,17,100,16
18,18,100,12
19,19,100,11
20,20,100,23
21,21,100,19
22,22,100,13
23,23,100,21
24,24,100,17
25,25,100,18
26,26,100,25
27,27,100,20
28,28,100,25
29,29,100,16
30,30,100,20
31,31,100,23
32,32,100,17
33,33,100,21
34,34,100,14
35,35,100,18
36,36,100,18
37,37,100,9
38,38,100,16
39,39,100,7
40,40,100,16
41,41,100,26
42,42,100,14
43,43,100,16
44,44,100,10
45,45,100,13
46,46,100,20
47,47,100,21
48,48,100,14
49,49,100,25
50,50,100,14
51,51,100,11
52,52,100,17
53,53,100,16
54,54,100,26
55,55,100,12
56,56,100,21
57,57,100,13
58,58,100,21
59,59,100,11
60,60,100,17
61,61,100,19
62,62,100,17
63,63,100,7
64,64,100,17
65,65,100,21
66,66,100,11
67,67,100,27
68,68,100,17
69,69,100,15
70,70,100,23
71,71,100,15
72,72,100,15
73,73,100,21
74,74,100,20
75,75,100,19
76,76,100,19
77,77,100,14
78,78,100,11
79,79,100,9
80,80,100,11
81,81,100,25
82,82,100,22
83,83,100,9
84,84,100,13
85,85,100,17
86,86,100,9
87,87,100,15
88,88,100,19
89,89,100,22
90,90,100,15
91,91,100,16
92,92,100,13
93,93,100,25
94,94,100,23
95,95,100,19
96,96,100,15
97,97,100,16
98,98,100,18
99,99,100,25
