,epoch,time until adapted,expectations
0,0,79,[0.3106383 0.1787234 0.5106383]
1,1,80,[0.29661017 0.19491525 0.50847458]
2,2,93,[0.30923695 0.20883534 0.48192771]
3,3,97,[0.31225296 0.21343874 0.4743083 ]
4,4,108,[0.33712121 0.20833333 0.45454545]
5,5,86,[0.31404959 0.19008264 0.49586777]
6,6,87,[0.30452675 0.20164609 0.49382716]
7,7,86,[0.33057851 0.17355372 0.49586777]
8,8,87,[0.3127572  0.19341564 0.49382716]
9,9,84,[0.32916667 0.17083333 0.5       ]
10,10,92,[0.31048387 0.20564516 0.48387097]
11,11,90,[0.32113821 0.19105691 0.48780488]
12,12,91,[0.31983806 0.19433198 0.48582996]
13,13,86,[0.30165289 0.20247934 0.49586777]
14,14,85,[0.30705394 0.19502075 0.49792531]
15,15,95,[0.3187251  0.20318725 0.47808765]
16,16,94,[0.316 0.204 0.48 ]
17,17,93,[0.31726908 0.20080321 0.48192771]
18,18,80,[0.31355932 0.1779661  0.50847458]
19,19,99,[0.3372549  0.19215686 0.47058824]
20,20,97,[0.32411067 0.20158103 0.4743083 ]
21,21,95,[0.3187251  0.20318725 0.47808765]
22,22,97,[0.31620553 0.20948617 0.4743083 ]
23,23,82,[0.30672269 0.18907563 0.50420168]
24,24,91,[0.31174089 0.20242915 0.48582996]
25,25,89,[0.31020408 0.2        0.48979592]
26,26,104,[0.30769231 0.23076923 0.46153846]
27,27,98,[0.33070866 0.19685039 0.47244094]
28,28,94,[0.308 0.212 0.48 ]
29,29,88,[0.32786885 0.18032787 0.49180328]
30,30,108,[0.33712121 0.20833333 0.45454545]
31,31,91,[0.31174089 0.20242915 0.48582996]
32,32,88,[0.31147541 0.19672131 0.49180328]
33,33,88,[0.32377049 0.18442623 0.49180328]
34,34,88,[0.30737705 0.20081967 0.49180328]
35,35,92,[0.3266129  0.18951613 0.48387097]
36,36,91,[0.33603239 0.17813765 0.48582996]
37,37,85,[0.33195021 0.17012448 0.49792531]
38,38,102,[0.31395349 0.22093023 0.46511628]
39,39,96,[0.30952381 0.21428571 0.47619048]
40,40,81,[0.30801688 0.18565401 0.50632911]
41,41,77,[0.30901288 0.17596567 0.51502146]
42,42,101,[0.31128405 0.22178988 0.46692607]
43,43,98,[0.30708661 0.22047244 0.47244094]
44,44,77,[0.30901288 0.17596567 0.51502146]
45,45,100,[0.33203125 0.19921875 0.46875   ]
46,46,109,[0.31698113 0.23018868 0.45283019]
47,47,93,[0.30120482 0.21686747 0.48192771]
48,48,110,[0.31954887 0.22932331 0.45112782]
49,49,75,[0.3030303  0.17748918 0.51948052]
50,50,96,[0.31746032 0.20634921 0.47619048]
51,51,103,[0.30501931 0.23166023 0.46332046]
52,52,89,[0.31428571 0.19591837 0.48979592]
53,53,92,[0.30241935 0.21370968 0.48387097]
54,54,98,[0.30708661 0.22047244 0.47244094]
55,55,85,[0.30290456 0.19917012 0.49792531]
56,56,78,[0.29487179 0.19230769 0.51282051]
57,57,91,[0.32388664 0.1902834  0.48582996]
58,58,83,[0.29707113 0.20083682 0.50209205]
59,59,89,[0.30204082 0.20816327 0.48979592]
60,60,118,[0.33211679 0.22992701 0.4379562 ]
61,61,92,[0.32258065 0.19354839 0.48387097]
62,62,84,[0.30833333 0.19166667 0.5       ]
63,63,94,[0.324 0.196 0.48 ]
64,64,88,[0.31967213 0.18852459 0.49180328]
65,65,82,[0.31092437 0.18487395 0.50420168]
66,66,99,[0.33333333 0.19607843 0.47058824]
67,67,103,[0.31274131 0.22393822 0.46332046]
68,68,92,[0.31048387 0.20564516 0.48387097]
69,69,81,[0.31223629 0.1814346  0.50632911]
70,70,84,[0.30416667 0.19583333 0.5       ]
71,71,103,[0.31274131 0.22393822 0.46332046]
72,72,88,[0.31147541 0.19672131 0.49180328]
73,73,112,[0.33208955 0.22014925 0.44776119]
74,74,102,[0.32945736 0.20542636 0.46511628]
75,75,85,[0.32780083 0.17427386 0.49792531]
76,76,83,[0.31380753 0.18410042 0.50209205]
77,77,92,[0.35080645 0.16532258 0.48387097]
78,78,96,[0.34920635 0.17460317 0.47619048]
79,79,89,[0.31428571 0.19591837 0.48979592]
80,80,90,[0.32520325 0.18699187 0.48780488]
81,81,81,[0.29535865 0.19831224 0.50632911]
82,82,89,[0.31428571 0.19591837 0.48979592]
83,83,89,[0.31428571 0.19591837 0.48979592]
84,84,83,[0.31799163 0.17991632 0.50209205]
85,85,100,[0.30859375 0.22265625 0.46875   ]
86,86,88,[0.32786885 0.18032787 0.49180328]
87,87,87,[0.32510288 0.18106996 0.49382716]
88,88,107,[0.30798479 0.23574144 0.45627376]
89,89,86,[0.31818182 0.18595041 0.49586777]
90,90,88,[0.30737705 0.20081967 0.49180328]
91,91,85,[0.29875519 0.2033195  0.49792531]
92,92,98,[0.32283465 0.20472441 0.47244094]
93,93,89,[0.31020408 0.2        0.48979592]
94,94,91,[0.29959514 0.2145749  0.48582996]
95,95,110,[0.31578947 0.23308271 0.45112782]
96,96,95,[0.30278884 0.21912351 0.47808765]
97,97,94,[0.304 0.216 0.48 ]
98,98,86,[0.33057851 0.17355372 0.49586777]
99,99,78,[0.29487179 0.19230769 0.51282051]
