,epoch,time spent in light,amount of times swapped
0,0,100,25
1,1,100,33
2,2,100,38
3,3,100,38
4,4,100,30
5,5,100,31
6,6,100,42
7,7,100,29
8,8,100,46
9,9,100,34
10,10,100,47
11,11,100,23
12,12,100,35
13,13,100,53
14,14,100,28
15,15,100,36
16,16,100,33
17,17,100,28
18,18,100,45
19,19,100,35
20,20,100,21
21,21,100,31
22,22,100,28
23,23,100,47
24,24,100,22
25,25,100,41
26,26,100,41
27,27,100,31
28,28,100,27
29,29,100,35
30,30,100,20
31,31,100,35
32,32,100,39
33,33,100,26
34,34,100,28
35,35,100,26
36,36,100,33
37,37,100,21
38,38,100,25
39,39,100,41
40,40,100,42
41,41,100,34
42,42,100,43
43,43,100,39
44,44,100,33
45,45,100,57
46,46,100,33
47,47,100,37
48,48,100,19
49,49,100,50
50,50,100,15
51,51,100,39
52,52,100,38
53,53,100,33
54,54,100,25
55,55,100,34
56,56,100,33
57,57,100,25
58,58,100,33
59,59,100,17
60,60,100,38
61,61,100,36
62,62,100,44
63,63,100,28
64,64,100,39
65,65,100,27
66,66,100,43
67,67,100,46
68,68,100,17
69,69,100,39
70,70,100,43
71,71,100,36
72,72,100,33
73,73,100,26
74,74,100,31
75,75,100,27
76,76,100,28
77,77,100,35
78,78,100,23
79,79,100,36
80,80,100,35
81,81,100,32
82,82,100,27
83,83,100,31
84,84,100,18
85,85,100,46
86,86,100,34
87,87,100,44
88,88,100,46
89,89,100,38
90,90,100,38
91,91,100,32
92,92,100,26
93,93,100,39
94,94,100,35
95,95,100,35
96,96,100,47
97,97,100,31
98,98,100,33
99,99,100,36
