,epoch,time spent in light,amount of times swapped
0,0,100,24
1,1,100,23
2,2,100,31
3,3,100,26
4,4,100,10
5,5,100,25
6,6,100,21
7,7,100,20
8,8,100,15
9,9,100,23
10,10,100,20
11,11,100,18
12,12,100,15
13,13,100,24
14,14,100,15
15,15,100,24
16,16,100,30
17,17,100,32
18,18,100,11
19,19,100,16
20,20,100,37
21,21,100,17
22,22,100,21
23,23,100,16
24,24,100,27
25,25,100,16
26,26,100,9
27,27,100,23
28,28,100,22
29,29,100,16
30,30,100,18
31,31,100,21
32,32,100,19
33,33,100,16
34,34,100,29
35,35,100,17
36,36,100,19
37,37,100,28
38,38,100,15
39,39,100,30
40,40,100,14
41,41,100,30
42,42,100,33
43,43,100,27
44,44,100,29
45,45,100,19
46,46,100,26
47,47,100,18
48,48,100,19
49,49,100,12
50,50,100,24
51,51,100,25
52,52,100,19
53,53,100,19
54,54,100,26
55,55,100,39
56,56,100,29
57,57,100,33
58,58,100,19
59,59,100,27
60,60,100,15
61,61,100,22
62,62,100,25
63,63,100,28
64,64,100,30
65,65,100,28
66,66,100,25
67,67,100,23
68,68,100,21
69,69,100,7
70,70,100,35
71,71,100,30
72,72,100,28
73,73,100,18
74,74,100,17
75,75,100,10
76,76,100,20
77,77,100,27
78,78,100,16
79,79,100,25
80,80,100,10
81,81,100,11
82,82,100,23
83,83,100,21
84,84,100,18
85,85,100,30
86,86,100,35
87,87,100,23
88,88,100,18
89,89,100,18
90,90,100,17
91,91,100,25
92,92,100,19
93,93,100,34
94,94,100,17
95,95,100,27
96,96,100,39
97,97,100,28
98,98,100,28
99,99,100,20
