,epoch,time until adapted,expectations
0,0,118,[0.30864198 0.19753086 0.49382716]
1,1,102,[0.2987013  0.18181818 0.51948052]
2,2,101,[0.29315961 0.18566775 0.52117264]
3,3,111,[0.30283912 0.19242902 0.50473186]
4,4,109,[0.2984127  0.19365079 0.50793651]
5,5,117,[0.29411765 0.21052632 0.49535604]
6,6,117,[0.29102167 0.21362229 0.49535604]
7,7,120,[0.29754601 0.21165644 0.49079755]
8,8,128,[0.2994012  0.22155689 0.47904192]
9,9,120,[0.30674847 0.20245399 0.49079755]
10,10,129,[0.31343284 0.20895522 0.47761194]
11,11,112,[0.30188679 0.19496855 0.50314465]
12,12,135,[0.29912023 0.23167155 0.46920821]
13,13,117,[0.29721362 0.20743034 0.49535604]
14,14,115,[0.30841121 0.19314642 0.49844237]
15,15,112,[0.29874214 0.19811321 0.50314465]
16,16,101,[0.28338762 0.19543974 0.52117264]
17,17,127,[0.30630631 0.21321321 0.48048048]
18,18,116,[0.30124224 0.20186335 0.49689441]
19,19,107,[0.28753994 0.20127796 0.51118211]
20,20,124,[0.2969697  0.21818182 0.48484848]
21,21,119,[0.31692308 0.19076923 0.49230769]
22,22,115,[0.29906542 0.20249221 0.49844237]
23,23,105,[0.28617363 0.19935691 0.51446945]
24,24,124,[0.2969697  0.21818182 0.48484848]
25,25,115,[0.30529595 0.19626168 0.49844237]
26,26,125,[0.3081571  0.20845921 0.48338369]
27,27,116,[0.30745342 0.19565217 0.49689441]
28,28,107,[0.2971246  0.19169329 0.51118211]
29,29,102,[0.2987013  0.18181818 0.51948052]
30,30,119,[0.29538462 0.21230769 0.49230769]
31,31,122,[0.32012195 0.19207317 0.48780488]
32,32,126,[0.30120482 0.21686747 0.48192771]
33,33,133,[0.2979351 0.2300885 0.4719764]
34,34,124,[0.30909091 0.20606061 0.48484848]
35,35,102,[0.2987013  0.18181818 0.51948052]
36,36,103,[0.28802589 0.19417476 0.51779935]
37,37,116,[0.29813665 0.20496894 0.49689441]
38,38,124,[0.30606061 0.20909091 0.48484848]
39,39,118,[0.28703704 0.2191358  0.49382716]
40,40,109,[0.3047619  0.18730159 0.50793651]
41,41,118,[0.30864198 0.19753086 0.49382716]
42,42,109,[0.28571429 0.20634921 0.50793651]
43,43,116,[0.30434783 0.19875776 0.49689441]
44,44,107,[0.2971246  0.19169329 0.51118211]
45,45,106,[0.30769231 0.17948718 0.51282051]
46,46,102,[0.31818182 0.16233766 0.51948052]
47,47,117,[0.30340557 0.20123839 0.49535604]
48,48,118,[0.29320988 0.21296296 0.49382716]
49,49,118,[0.31790123 0.1882716  0.49382716]
50,50,112,[0.29874214 0.19811321 0.50314465]
51,51,102,[0.29220779 0.18831169 0.51948052]
52,52,118,[0.29938272 0.20679012 0.49382716]
53,53,111,[0.30599369 0.18927445 0.50473186]
54,54,114,[0.3 0.2 0.5]
55,55,109,[0.29206349 0.2        0.50793651]
56,56,104,[0.30645161 0.17741935 0.51612903]
57,57,118,[0.30555556 0.20061728 0.49382716]
58,58,113,[0.29780564 0.20062696 0.5015674 ]
59,59,117,[0.30340557 0.20123839 0.49535604]
60,60,118,[0.29938272 0.20679012 0.49382716]
61,61,117,[0.29102167 0.21362229 0.49535604]
62,62,111,[0.30914826 0.18611987 0.50473186]
63,63,111,[0.30599369 0.18927445 0.50473186]
64,64,116,[0.29813665 0.20496894 0.49689441]
65,65,119,[0.29230769 0.21538462 0.49230769]
66,66,127,[0.30630631 0.21321321 0.48048048]
67,67,109,[0.29206349 0.2        0.50793651]
68,68,110,[0.2943038  0.19936709 0.50632911]
69,69,110,[0.29746835 0.19620253 0.50632911]
70,70,100,[0.29084967 0.18627451 0.52287582]
71,71,119,[0.29846154 0.20923077 0.49230769]
72,72,111,[0.29968454 0.1955836  0.50473186]
73,73,102,[0.28896104 0.19155844 0.51948052]
74,74,108,[0.29617834 0.19426752 0.50955414]
75,75,113,[0.30721003 0.19122257 0.5015674 ]
76,76,117,[0.3003096  0.20433437 0.49535604]
77,77,123,[0.33130699 0.18237082 0.48632219]
78,78,107,[0.29073482 0.19808307 0.51118211]
79,79,118,[0.29938272 0.20679012 0.49382716]
80,80,110,[0.30063291 0.19303797 0.50632911]
81,81,108,[0.29617834 0.19426752 0.50955414]
82,82,104,[0.30645161 0.17741935 0.51612903]
83,83,100,[0.30065359 0.17647059 0.52287582]
84,84,119,[0.29846154 0.20923077 0.49230769]
85,85,110,[0.30379747 0.18987342 0.50632911]
86,86,108,[0.29299363 0.19745223 0.50955414]
87,87,114,[0.303125 0.196875 0.5     ]
88,88,111,[0.29022082 0.20504732 0.50473186]
89,89,122,[0.30182927 0.21036585 0.48780488]
90,90,115,[0.31152648 0.19003115 0.49844237]
91,91,109,[0.3015873  0.19047619 0.50793651]
92,92,97,[0.2970297  0.17491749 0.52805281]
93,93,122,[0.30487805 0.20731707 0.48780488]
94,94,100,[0.29411765 0.18300654 0.52287582]
95,95,106,[0.28205128 0.20512821 0.51282051]
96,96,121,[0.30275229 0.20795107 0.48929664]
97,97,119,[0.30153846 0.20615385 0.49230769]
98,98,117,[0.29411765 0.21052632 0.49535604]
99,99,148,[0.31355932 0.23446328 0.4519774 ]
